ID,Country,Admin_region,Town,Latitude,Longitude,Year_start,Year_end,Rodent_or_human,Acutedisease_or_seroprevalence,Number_acutecases,Seroprevalence_percent,Comments,Reference,Reference_url,Notes
135,Cote d'Ivoire,Not specified,Beoumi,NA,NA,1970,1974,Human,Seroprevalence,1,,retrospective survey of missionaries,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
6,Nigeria,Benue Plateau State,Bassa,9.93,8.73,1970,1970,Human,Acute,24,,,"Carey et al, Trans R Soc Trop Med Hyg. 1972;66(3):402-8.",https://www.ncbi.nlm.nih.gov/pubmed/5046380,
7,Nigeria,Plateau State,Jos,9.92,8.9,1970,1973,Human,Acute,2,,,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
8,Nigeria,Not specified,Jos,9.9365,8.8814,1970,1970,Human,Acute,15,,,"Troup, Am J Trop Med Hyg 19 (4), 695-696. 7 1970",https://www.ncbi.nlm.nih.gov/labs/articles/4987549/,
9,Sierra Leone,Kailahun District,Mobai,7.99,-10.75,1970,1972,Human,Acute,1,,,"Fraser et al, Am J Trop Med Hyg. 1974 Nov;23(6):1131-9.",https://www.ncbi.nlm.nih.gov/pubmed/4429182,
10,Sierra Leone,Kenema District,Tongo + Panguma,8.22,-11.06,1970,1972,Human,Acute,63,,,"Fraser et al, Am J Trop Med Hyg. 1974 Nov;23(6):1131-9.",https://www.ncbi.nlm.nih.gov/pubmed/4429182,
11,Sierra Leone,Kenema District,Panguma,8.18,-11.13,1970,1975,Human,Acute,12,,,"Monath et al, Am J Trop Med Hyg. 1974 Nov;23(6):1140-9.",https://www.ncbi.nlm.nih.gov/pubmed/4429183,
12,Sierra Leone,Kenema District,Panguma,8.19,-11.13,1970,1975,Human,Acute,40,,,"Keane, Br Med J. 1977 May 28;1(6073):1399-402.",https://www.ncbi.nlm.nih.gov/pubmed/861652,
136,Sierra Leone,Kenema District,Panguma,8.18,-11.13,1970,1975,Human,Seroprevalence,,,,"Bottineau et al (2003) Lassa Fever, summary of the situation in Sierra Leone focussing on refugee camps and way stations (1st of January to 30th of April 2003): UNHCR.",NA,
137,Sierra Leone,Bo District,Serabu,7.79,-12.05,1970,1972,Human,Seroprevalence,,13,,"Fraser et al, Am J Trop Med Hyg. 1974 Nov;23(6):1131-9.",https://www.ncbi.nlm.nih.gov/pubmed/4429182,
138,Sierra Leone,Kailahun District,Koindu,8.46,-10.34,1970,1972,Human,Seroprevalence,,0,,"Fraser et al, Am J Trop Med Hyg. 1974 Nov;23(6):1131-9.",https://www.ncbi.nlm.nih.gov/pubmed/4429182,
139,Sierra Leone,Kailahun District,Mobai Clinic,7.99,-10.75,1970,1972,Human,Seroprevalence,,0,,"Fraser et al, Am J Trop Med Hyg. 1974 Nov;23(6):1131-9.",https://www.ncbi.nlm.nih.gov/pubmed/4429182,
140,Sierra Leone,Kailahun District,Segbwema,8,-10.95,1970,1972,Human,Seroprevalence,,7,,"Fraser et al, Am J Trop Med Hyg. 1974 Nov;23(6):1131-9.",https://www.ncbi.nlm.nih.gov/pubmed/4429182,
141,Sierra Leone,Kenema District,Tongo + Panguma,8.22,-11.06,1970,1972,Human,Seroprevalence,,22,,"Fraser et al, Am J Trop Med Hyg. 1974 Nov;23(6):1131-9.",https://www.ncbi.nlm.nih.gov/pubmed/4429182,
13,Liberia,Bomi County,Hayes Gowien Town,6.61,-10.8,1971,1971,Human,Acute,1,,,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
142,Liberia,Not specified,Hayes Gowien Town,NA,NA,1971,1971,Human,Seroprevalence,1,,retrospective survey of missionaries,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
14,Mali,Segou region,Ntorosso,13.9,5.4,1971,1971,Human,Acute,1,,,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
143,Mali,Not specified,Ntorosso,13.9,-5.4,1971,1971,Human,Seroprevalence,1,,retrospective survey of missionaries,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
15,Nigeria,Sokoto State,Sokoto,13.06,5.25,1971,1971,Human,Acute,1,,,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
144,Nigeria,Not specified,Sokoto,13.4,5.15,1971,1971,Human,Seroprevalence,1,,retrospective survey of missionaries,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
16,Liberia,Bong County,Suakoko,6.99,-9.58,1972,1972,Human,Acute,11,,,"Frame et al, Trans R Soc Trop Med Hyg. 1984;78(5):656-60.",https://www.ncbi.nlm.nih.gov/pubmed/6390808,
17,Liberia,Lofa County,Zigida,8.04,-9.49,1972,1972,Human,Acute,11,,,"Monath et al, Am J Trop Med Hyg. 1973 Nov;22(6):773-9.",https://www.ncbi.nlm.nih.gov/pubmed/4745236,
18,Liberia,Lofa County,Zigida,8.04,-9.49,1972,1972,Human,Acute,11,,,"Mertens et al, Am J Trop Med Hyg. 1973 Nov;22(6):780-4.",https://www.ncbi.nlm.nih.gov/pubmed/4745237,
397,Liberia,Lofa County,Yielah,7.82,-9.402,1972,1972,,,,,,Saltzmann S (1978) La fievre de Lassa. Neuchatel: Editions des Groupes Missionnaires,NA,
145,Nigeria,Not specified,Jos,9.55,8.54,1972,1972,Human,Seroprevalence,1,,retrospective survey of missionaries,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
146,Nigeria,Benue Plateau State,Du,9.75,8.89,1972,1972,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
147,Nigeria,Benue Plateau State,Langtang,9.15,9.8,1972,1972,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
148,Nigeria,Benue Plateau State,Ner-Pankshin,9.34,9.45,1972,1972,Rodent,Seroprevalence,,25,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
149,Nigeria,Benue Plateau State,Rukuba,9.95,8.71,1972,1972,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
150,Sierra Leone,Kenema District,Panguma,8.18,-11.13,1972,1972,Rodent,Seroprevalence,,2,,"Monath, Science. 1974 Jul 19;185(4147):263-5.",https://www.ncbi.nlm.nih.gov/pubmed/4833828,
151,Sierra Leone,Kenema District,Tongo,8.22,-11.06,1972,1972,Rodent,Seroprevalence,,37,,"Monath, Science. 1974 Jul 19;185(4147):263-5.",https://www.ncbi.nlm.nih.gov/pubmed/4833828,
152,Nigeria,Not specified,Jos,9.55,8.54,1973,1973,Human,Seroprevalence,1,,retrospective survey of missionaries,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
153,Nigeria,Benue Plateau State,Foron,9.69,8.95,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
154,Nigeria,Benue Plateau State,Fusa,9.77,9,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
155,Nigeria,Benue Plateau State,Miango,9.85,8.68,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
156,Nigeria,Benue Plateau State,Naraguta,9.98,8.89,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
157,Nigeria,Benue Plateau State,Toro,10.06,9.07,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
158,Nigeria,Benue Plateau State,Vom,9.68,8.74,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
159,Nigeria,North-Eastern State,Bara,10.37,10.73,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
160,Nigeria,North-Eastern State,Bauchi,10.31,9.85,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
161,Nigeria,North-Eastern State,Biu,10.61,12.19,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
162,Nigeria,North-Eastern State,Gogombi,10.78,13.07,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
163,Nigeria,North-Eastern State,Gombe,10.28,11.17,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
164,Nigeria,North-Eastern State,Lassa,10.69,13.31,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
165,Nigeria,North-Eastern State,Michika,10.62,13.39,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
166,Nigeria,North-Eastern State,Uba,NA,NA,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
167,Nigeria,North-Eastern State,Womdiu,10.53,13.13,1973,1973,Rodent,Seroprevalence,,0,,"Wulff, Bull World Health Organ. 1975; 52(4-6): 609ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366652/,
19,Burkina Faso,Comoï¿½ï¿½ï¿½ ,Banfora,10.63,-4.77,1974,1974,Human,Acute,1,,,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
168,Burkina Faso,Not specified,Banfora,NA,NA,1974,1974,Human,Seroprevalence,1,,retrospective survey of missionaries,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
169,Liberia,Bong County,Suakoko,6.99,-9.58,1974,1974,Human,Seroprevalence,,5,,"Bloch, Bull World Health Organ. 1978;56(5):811-3.",https://www.ncbi.nlm.nih.gov/pubmed/310723,
170,Liberia,Lofa County,Zorzor,7.77,-9.42,1974,1974,Human,Seroprevalence,,9,,"Bloch, Bull World Health Organ. 1978;56(5):811-3.",https://www.ncbi.nlm.nih.gov/pubmed/310723,
171,Liberia,Montserrado County,Monrovia,6.23,-10.69,1974,1974,Human,Seroprevalence,,0,,"Bloch, Bull World Health Organ. 1978;56(5):811-3.",https://www.ncbi.nlm.nih.gov/pubmed/310723,
172,Liberia,Montserrado County,Monrovia,6.31,-10.81,1974,1974,Human,Seroprevalence,,2,,"Bloch, Bull World Health Organ. 1978;56(5):811-3.",https://www.ncbi.nlm.nih.gov/pubmed/310723,
20,Nigeria,East Central State,Onitsha,6.17,6.78,1974,1974,Human,Acute,3,,,"Bowen et al, Bull World Health Organ. 1975;52(4-6):599-604.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366632/,
21,Nigeria,Adamawa State,Takum,7.27,9.98,1974,1974,Human,Acute,1,,,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
173,Nigeria,East Central State,Onitsha,6.17,6.78,1974,1974,Human,Seroprevalence,,0,,,,
174,Nigeria,Not specified,Takum,7.16,9.59,1974,1974,Human,Seroprevalence,2,,retrospective survey of missionaries,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
398,Nigeria,Plateau State,Vom,9.68,8.74,1974,1977,,,,,,Saltzmann S (1978) La fievre de Lassa. Neuchatel: Editions des Groupes Missionnaires,NA,
22,Nigeria,Not specified,Vom,9.68,8.74,1975,1975,Human,Acute,3,,,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
23,Nigeria,Not specified,Zonkwa,9.78,8.28,1975,1975,Human,Acute,1,,Pers communication with A Woodruff and D Newberry,"Monath, Bull World Health Organ. 1975; 52(4-6): 577ï¿½ï¿",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366662/,
399,Nigeria,Plateau State,Zonkwa,9.78,8.28,1975,1975,,,,,,Saltzmann S (1978) La fievre de Lassa. Neuchatel: Editions des Groupes Missionnaires,NA,
24,Sierra Leone,Kailahun District,Segbwema,8,-10.95,1975,1983,Human,Acute,11,,,"Keane, Br Med J. 1977 May 28;1(6073):1399-402.",https://www.ncbi.nlm.nih.gov/pubmed/861652,
175,Liberia,Bassa County,Lamco Buchanan hosp.,5.87,-10.05,1976,1977,Human,Seroprevalence,,7,,"Frame, Trans R Soc Trop Med Hyg. 1979;73(2):219-24.",https://www.ncbi.nlm.nih.gov/pubmed/382467,
176,Liberia,Bong County,Bong mines ,6.69,-10.2,1976,1977,Human,Seroprevalence,,4,,"Frame, Trans R Soc Trop Med Hyg. 1979;73(2):219-24.",https://www.ncbi.nlm.nih.gov/pubmed/382467,
177,Liberia,Bong County,Suakoko,6.99,-9.58,1976,1977,Human,Seroprevalence,,10,,"Frame, Trans R Soc Trop Med Hyg. 1979;73(2):219-24.",https://www.ncbi.nlm.nih.gov/pubmed/382467,
178,Liberia,Lofa County,Foya,8.36,-10.21,1976,1977,Human,Seroprevalence,,23,,"Frame, Trans R Soc Trop Med Hyg. 1979;73(2):219-24.",https://www.ncbi.nlm.nih.gov/pubmed/382467,
179,Liberia,Lofa County,Zorzor,7.77,-9.42,1976,1977,Human,Seroprevalence,,13,,"Frame, Trans R Soc Trop Med Hyg. 1979;73(2):219-24.",https://www.ncbi.nlm.nih.gov/pubmed/382467,
180,Liberia,Montserrado County,Monrovia,6.31,-10.81,1976,1977,Human,Seroprevalence,,5,,"Frame, Trans R Soc Trop Med Hyg. 1979;73(2):219-24.",https://www.ncbi.nlm.nih.gov/pubmed/382467,
181,Liberia,Montserrado County,Monrovia,6.23,-10.69,1976,1977,Human,Seroprevalence,,6,,"Frame, Trans R Soc Trop Med Hyg. 1979;73(2):219-24.",https://www.ncbi.nlm.nih.gov/pubmed/382467,
182,Liberia,Nimba County,Ganta,7.23,-8.98,1976,1977,Human,Seroprevalence,,7,,"Frame, Trans R Soc Trop Med Hyg. 1979;73(2):219-24.",https://www.ncbi.nlm.nih.gov/pubmed/382467,
183,Liberia,Nimba County,Yekepa,7.58,-8.54,1976,1977,Human,Seroprevalence,,5,,"Frame, Trans R Soc Trop Med Hyg. 1979;73(2):219-24.",https://www.ncbi.nlm.nih.gov/pubmed/382467,
400,Benin,Borgou department,Bambï¿½ï¿,10.22,2.66,1977,1977,,,,,,Saltzmann S (1978) La fievre de Lassa. Neuchatel: Editions des Groupes Missionnaires,NA,
401,Nigeria,Plateau State,Fan,8.82,10.9,1977,1977,,,,,,Saltzmann S (1978) La fievre de Lassa. Neuchatel: Editions des Groupes Missionnaires,NA,
184,Sierra Leone,Bombali District,Kamabunyele,9.18,-11.93,1977,1983,Human,Seroprevalence,,14,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
185,Sierra Leone,Bombali District,Kamethe,9.18,-11.93,1977,1983,Human,Seroprevalence,,15,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
186,Sierra Leone,Bombali District,Kathumpe,9.5,-12.23,1977,1983,Human,Seroprevalence,,10,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
187,Sierra Leone,Kenema District,Bomie,8.23,-11.05,1977,1983,Human,Seroprevalence,,10,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
188,Sierra Leone,Kenema District,Konia,8.1,-11.01,1977,1983,Human,Seroprevalence,,37,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
189,Sierra Leone,Kenema District,Kpandebu,8.22,-11.07,1977,1983,Human,Seroprevalence,,15,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
190,Sierra Leone,Kenema District,Landoma,8.23,-11.07,1977,1983,Human,Seroprevalence,,11,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
191,Sierra Leone,Kenema District,Lowoma,8.22,-11.03,1977,1983,Human,Seroprevalence,,13,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
192,Sierra Leone,Kenema District,Neama,8.12,-11,1977,1983,Human,Seroprevalence,,15,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
193,Sierra Leone,Kenema District,Niahun,8.07,10.94,1977,1983,Human,Seroprevalence,,19,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
194,Sierra Leone,Kenema District,Njakundoma,8.23,-11.05,1977,1983,Human,Seroprevalence,,20,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
195,Sierra Leone,Kenema District,Palima,8.09,-11.33,1977,1983,Human,Seroprevalence,,52,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
196,Sierra Leone,Kenema District,Semewabu,8.02,-10.87,1977,1983,Human,Seroprevalence,,38,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
197,Sierra Leone,Kenema District,Tongola,8.22,-11.06,1977,1983,Human,Seroprevalence,,31,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
198,Sierra Leone,Kenema District,Yengama,7.78,-11.46,1977,1983,Human,Seroprevalence,,8,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
199,Sierra Leone,Bombali District,Kathumpe,9.5,-12.23,1977,1983,Rodent,Seroprevalence,,7,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
200,Sierra Leone,Bombali District,Mamaka,9.1,-12.32,1977,1983,Rodent,Seroprevalence,,29,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
201,Sierra Leone,Kenema District,Geliama,8,-11.07,1977,1983,Rodent,Seroprevalence,,13,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
202,Sierra Leone,Kenema District,Giehun,8.17,-11.08,1977,1983,Rodent,Seroprevalence,,1,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
203,Sierra Leone,Kenema District,Giema,8.2,-11.05,1977,1983,Rodent,Seroprevalence,,19,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
204,Sierra Leone,Kenema District,Konia,8.1,-11.01,1977,1983,Rodent,Seroprevalence,,17,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
205,Sierra Leone,Kenema District,Kpandebu,8.22,-11.07,1977,1983,Rodent,Seroprevalence,,3,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
206,Sierra Leone,Kenema District,Lalehun,8.19,-11.08,1977,1983,Rodent,Seroprevalence,,1,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
207,Sierra Leone,Kenema District,Landoma,8.23,-11.07,1977,1983,Rodent,Seroprevalence,,4,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
208,Sierra Leone,Kenema District,Lowoma,8.22,-11.03,1977,1983,Rodent,Seroprevalence,,81,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
209,Sierra Leone,Kenema District,Niahun,8.07,10.94,1977,1983,Rodent,Seroprevalence,,7,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
210,Sierra Leone,Kenema District,Palima,8.09,-11.33,1977,1983,Rodent,Seroprevalence,,12,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
211,Sierra Leone,Kenema District,Tongola,8.22,-11.06,1977,1983,Rodent,Seroprevalence,,2,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
212,Sierra Leone,Kenema District,Yengama,7.78,-11.46,1977,1983,Rodent,Seroprevalence,,0,,"McCormick, J Infect Dis. 1987 Mar;155(3):437-44.",https://www.ncbi.nlm.nih.gov/pubmed/3805771,
402,Sierra Leone,Bo District,Serabu,7.79,-12.05,1977,1977,,,,,,Saltzmann S (1978) La fievre de Lassa. Neuchatel: Editions des Groupes Missionnaires,NA,
213,Liberia,Lofa County,Foya,8.36,-10.21,1979,1979,Human,Seroprevalence,,40,,"Frame, Trans R Soc Trop Med Hyg. 1984;78(6):761-3.",https://www.ncbi.nlm.nih.gov/pubmed/6398529,
214,Liberia,Lofa County,Zorzor,7.77,-9.42,1979,1979,Human,Seroprevalence,,22,,"Frame, Trans R Soc Trop Med Hyg. 1984;78(6):761-3.",https://www.ncbi.nlm.nih.gov/pubmed/6398529,
215,Liberia,Grand Cape Mount County,Mano River,7.01,-11.37,1980,1980,Human,Seroprevalence,,24,,"Frame, Trans R Soc Trop Med Hyg. 1984;78(6):761-3.",https://www.ncbi.nlm.nih.gov/pubmed/6398529,
216,Liberia,Montserrado County,Goodrich plantation,6.72,-10.96,1980,1980,Human,Seroprevalence,,13,,"Frame, Trans R Soc Trop Med Hyg. 1984;78(6):761-3.",https://www.ncbi.nlm.nih.gov/pubmed/6398529,
217,Liberia,Lofa County,Balagualazu,7.77,-9.62,1980,1982,Human,Seroprevalence,,3,,"Yalley-Ogunro, Trans R Soc Trop Med Hyg. 1984;78(6):764-70.",https://www.ncbi.nlm.nih.gov/pubmed/6398530,
218,Liberia,Lofa County,Borlelo,8.45,-10.16,1980,1982,Human,Seroprevalence,,5,,"Yalley-Ogunro, Trans R Soc Trop Med Hyg. 1984;78(6):764-70.",https://www.ncbi.nlm.nih.gov/pubmed/6398530,
219,Liberia,Lofa County,Foya,8.36,-10.21,1980,1982,Human,Seroprevalence,,14,,"Yalley-Ogunro, Trans R Soc Trop Med Hyg. 1984;78(6):764-70.",https://www.ncbi.nlm.nih.gov/pubmed/6398530,
220,Liberia,Lofa County,Gbanwei,7.68,-9.42,1980,1982,Human,Seroprevalence,,8,,"Yalley-Ogunro, Trans R Soc Trop Med Hyg. 1984;78(6):764-70.",https://www.ncbi.nlm.nih.gov/pubmed/6398530,
