Outbreak_ID,Virus,Country,Apparent Origin,Month Start,Month End,Year Start,Year End,Lat,Long,shape,Lat/Long Notes
19,Ebola Zaire,Republic of the Congo,"Mvoula camp (Kéllé district, Cuvette Ouest) ",1,4,2003,2003,0.06823,14.41997,point,The 3rd index case came from the Mvoula camp. Can not find camp in GE or GM but confident it is around the Lossi Animal reserve. A polygon was drawn around the excel coords to represent the potential hunting range
20,Ebola Zaire,Republic of the Congo,"Mbandza forest near village (Mbomo district, Cuvette Ouest)",10,12,2003,2003,,,polygon,"Coords for 'Mbandza, Cuvette Ouest, Congo' were produced in GE and recorded. Information regarding the index case came from Mbandza according to Ref 129"
21,Ebola Sudan,Sudan (South Sudan),Forest 40km South of Yambio town,4,6,2004,2004,,,polygon,"The search term, 'Yambio, South Sudan' was used in GE and then a forest in DRC which was 40km away from Yambio was geo-referenced. A polygon needs to be drawn around this forest area"
22,Ebola Zaire,Republic of the Congo,Odzala National Park (Etoumbi),4,5,2005,2005,,,polygon,"It appears the first zoonotic infection was on a hunting trip into the Parc d'Odzala. The excel coords represent the centroid of the park, however it is my belief that the park is also made up of the 'Reserve de Faune de la Lekoli-Pandaka' and the 'Domdine de Chasse de Mboko' parks which should also be incluced in the polygon boundry."
23,Ebola Zaire,DRC,Bamoukamba 2 (index),5,11,2007,2007,-5.25956,21.40954,point,"According to Ref 131 the index case came from Ndongo 2 village howewer a man came into direct contact with the blood of the bats he had bought from the Mombo Mounene 2 market reported having mild symptoms (mainly fever and headache) sometimes during this period. This man was the father of a 4-year-old girl (patient B), who suddenly fell ill on 12 June and died on 16 June 2007.   'Mombo Mounene 2 market' was not stored in GMs or GE. Therefore we used GE and the article map to decide where the market was. We picked a location just after the bend in the road.  For accuracy a polygon need to be drawn with a radius of 3km from the excel coords. "
24,Ebola Bundibugyo,Uganda,"Kabango village (Kasitu subcounty, Bundibugyo district) (index)",8,1,2007,2008,0.7706,30.13041,point,"According to Ref 115, 'The putative index patient was a 26-year-old woman from Kabango village, Kasitu subcounty, in Bundibugyo district'. GE search term 'Kabango Senior Secondary School, Uganda' was used to then find the town's coords across the road. The school appears to be within 1km of the village and therfore a point was chosen."
25,Ebola Zaire,DRC,Luebo health zone (index),11,2,2008,2009,,,polygon,"The paper says the index case came from Luebo (-5.350000°, 21.416667°)health zones of the Province of Kasai Occidental .Central coords produced by typing '[health zone],Kasai Occidental, DRC' into GE. They are polygons because the information is not related to the index case but the outbreak in general. Therefore a polygon needs to be drawn matching the the geographic limits of Luebo."
26,Ebola Sudan,Uganda,Nakisamata village (Luwero District),5,5,2011,2011,0.62415,32.73669,point,"Unable to produce point coords for Nakisamata village as the location could not be found in GE or GMs. However using the article map (Ref 109 [Fig 1]) we estimated the village to be within 10km from 'Busika, Uganda' and used coords from 'Busika' instead. Therefore a polygon around Busika needs to be drawn to reflect the index case location. Please see Ref 109 (Fig 1) for more information."
27,Ebola Bundibugyo,DRC,Isiro health zone  (index),6,11,2012,2012,,,polygon,"No geographical information on index case. GE search term 'Province Orientale, DRC' to generate centroid coords. A polygon needs to be drawn matching the the geographic limits of  'Province Orientale, DRC'."
28,Ebola Sudan,Uganda,"Nyanswiga village, Nyamarunda, Buyanja  (Kibaale District) (index)",6,10,2012,2012,,,polygon,"No geographical information on index case. GE search term 'Kibale district, Uganda' to generate cenrtroid coords. A polygon need to be drawn matching the the geographic limits of  'Kibale district, Uganda'"
29,Ebola Sudan,Uganda,Luwero district (index),11,1,2012,2013,,,polygon,"No geographical information on index case. GE search term 'Luwero District, Uganda' to generate centroid coords. A polygon needs to be drawn matching the the geographic limits of  ' Luwero District, Uganda'."
30,Ebola Zaire,Guinea,Gueckedou (Guinea Forest Region),12,9,2013,2015,8.6225,-10.06423,point,"GE search term 'Gueckedou,Guinea' used to generate coords. The town 'Guéckédou' is larger than 1x1km therefore a polygon needs to be drawn matching the the geographic limits of  'Guéckédou' "
31,Ebola Zaire,DRC,Near Boende,8,11,2014,2014,,,polygon,10 km polygon around Boende town
