ID,Presence,Unconfirmed [1],Training data,No. gen. tested,Calc. for no. gen. tested,Community tested,Host,samples collected to look for Pk [1] or opportunistic [2] or previously confirmed Pk [3],Year,Country,Country_id,Site_name,Subnational_area,Geometry_type,Latitude,Longitude,Admin_level,Gaul_code,Polygon_code,Centroid Latitude,Centroid Longitude,EndNote ID,Primary source,Secondary source,,,
82,0,1,0,72,actual,confirmed malaria cases,human,1,2006,Malaysia,MYS,Bau District,Sarawak State,polygon,,,Admin2,37427,,1.36551,110.13128,126,"Cox-Singh J, Davis TM, Lee KS, Shamsul SS, Matusop A, et al. (2008) Plasmodium knowlesi malaria in humans is widely distributed and potentially life threatening. Clin Infect Dis 46: 165-171.",,,,
107,0,1,0,3,divided pool,confirmed malaria cases,human,1,2005,Malaysia,MYS,Kudat District (mainland only),Sabah State,polygon,,,para_ras2,,7,6.81384,116.74368,126,"Cox-Singh J, Davis TM, Lee KS, Shamsul SS, Matusop A, et al. (2008) Plasmodium knowlesi malaria in humans is widely distributed and potentially life threatening. Clin Infect Dis 46: 165-171.",,,,
130,1,1,0,31,actual,monkeys,monkey,1,2006,Indonesia,IDN,North Sulawesi Province,North Sulawesi Province,polygon,,,Admin1,1013666,,1.29090,124.54500,785,"Jones-Engel L, Engel GA, Schillaci MA, Pacheco M, Escalante A (2007) Malarial monkeys: reservoir for zoonotic infection? American Journal of Primatology 69: 40-41.",,,,
131,0,1,0,6,actual,monkeys,monkey,1,2006,Thailand,THA,Khon Tee Island,Ranong Province,point,9.94755,98.58968,,,,,,386,"Seethamchai S, Putaporntip C, Malaivijitnond S, Cui LW, Jongwutiwes S (2008) Malaria and Hepatocystis species in wild macaques, Southern Thailand. American Journal of Tropical Medicine and Hygiene 78: 646-653.",,,,
132,0,1,0,15,actual,monkeys,monkey,1,2006,Thailand,THA,Mangrove Forest Research Center,Ranong Province,point,9.87722,98.60267,,,,,,386,"Seethamchai S, Putaporntip C, Malaivijitnond S, Cui LW, Jongwutiwes S (2008) Malaria and Hepatocystis species in wild macaques, Southern Thailand. American Journal of Tropical Medicine and Hygiene 78: 646-653.",,,,
133,0,1,0,78,actual,monkeys,monkey,1,2006,Thailand,THA,Wat Khao Takieb,Prachuab Khirikhan Province,point,12.51567,99.98205,,,,,,386,"Seethamchai S, Putaporntip C, Malaivijitnond S, Cui LW, Jongwutiwes S (2008) Malaria and Hepatocystis species in wild macaques, Southern Thailand. American Journal of Tropical Medicine and Hygiene 78: 646-653.",,,,
134,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Kabang District",Yala Province,point,6.32931,100.96073,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
135,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Yaha District",Yala Province,point,6.49928,101.06451,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
136,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Bacho District",Narathiwat Province,point,6.60721,101.61322,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
138,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Cho-airang District",Narathiwat Province,point,6.24959,101.87702,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
139,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Ra-ngae District",Narathiwat Province,point,6.32889,101.63919,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
144,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Si Sakhon District",Narathiwat Province,point,6.15004,101.48992,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
145,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Yi-ngo District",Narathiwat Province,point,6.38136,101.70622,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
146,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Kong Ra District",Pattalung Province,point,7.41324,99.92433,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
147,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Tamod District",Pattalung Province,point,7.29594,100.00751,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
148,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Mayo District",Pattani Province,point,6.69917,101.37608,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
149,0,1,0,43,divided pool,monkeys,monkey,1,2009,Thailand,THA,"forest site, Su-ngai Kolok District",Narathiwat Province,point,6.05126,101.97022,,,,,,154,"Putaporntip C, Jongwutiwes S, Thongaree S, Seethamchai S, Grynberg P, et al. (2010) Ecology of malaria parasites infecting Southeast Asian macaques: evidence from cytochrome b sequences. Mol Ecol 19: 3466-3476.",,,,
155,0,1,0,21,actual,monkeys,monkey,1,2006,Thailand,THA,Ranong Province,Ranong Province,polygon,,,Admin1,2900,,9.96786,98.70054,787,"Seethamchai S, Jongwutiwes S, Malaivijitnond S, Cui L, Putaporntip C (2007) Morphologic and molecular analysis of malaria and malaria-like parasites in wild-macaques, Southern Thailand. The American Journal of Tropical Medicine and Hygiene 77: 156-157.",,,,
166,0,1,0,0,actual,mosquitoes with sporozoites or oocysts,mosquito,1,2005,Malaysia,MYS,Lubok Loh Yong,Sarawak State,point,1.97517,112.85725,,,,,,127,"Tan CH, Vythilingam I, Matusop A, Chan ST, Singh B (2008) Bionomics of Anopheles latens in Kapit, Sarawak, Malaysian Borneo in relation to the transmission of zoonotic simian malaria parasite Plasmodium knowlesi. Malar J 7: 52.",Vythilingam I (2014) personal communication,,,
176,0,1,0,0,actual,mosquitoes with sporozoites or oocysts,mosquito,1,2008,Malaysia,MYS,Sungai Ular village,Pahang State,point,4.21869,101.88333,,,,,,1319,"Jiram AI, Vythilingam I, NoorAzian YM, Yusof YM, Azahari AH, et al. (2012) Entomologic investigation of Plasmodium knowlesi vectors in Kuala Lipis, Pahang, Malaysia. Malaria Journal 11.",,,,
240,0,1,0,4,actual,monkeys,monkey,1,2013,Malaysia,MYS,Samarahan Division,Sarawak State,polygon,,,para_ras1,,32,1.23194,110.71488,,Singh B (2014) personal communication,,,,
246,0,1,0,2,actual,confirmed malaria cases,human,1,2013,Malaysia,MYS,Kedah State,Kedah State,polygon,,,Admin1,1892,,5.92315,100.65981,1086,"Yusof R, Lau YL, Mahmud R, Fong MY, Jelip J, et al. (2014) High proportion of knowlesi malaria in recent malaria cases in Malaysia. Malaria Journal 13: 168.",,,,
287,1,1,0,35,divided pool,confirmed malaria cases in non-Pk study,human,2,2004,India,IND,Port Blair,Andaman & Nicobar,point,11.63380,92.72814,,,,,,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
288,1,1,0,30,divided pool,confirmed malaria cases in non-Pk study,human,2,2004,India,IND,Car Nicobar,Andaman & Nicobar,polygon,,,para_ras1,,30,9.17554,92.77588,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
289,1,1,0,35,divided pool,confirmed malaria cases in non-Pk study,human,2,2005,India,IND,Port Blair,Andaman & Nicobar,point,11.63380,92.72814,,,,,,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
290,1,1,0,30,divided pool,confirmed malaria cases in non-Pk study,human,2,2006,India,IND,Car Nicobar,Andaman & Nicobar,polygon,,,para_ras1,,30,9.17554,92.77588,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
291,1,1,0,35,divided pool,confirmed malaria cases in non-Pk study,human,2,2007,India,IND,Port Blair,Andaman & Nicobar,point,11.63380,92.72814,,,,,,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
292,1,1,0,30,divided pool,confirmed malaria cases in non-Pk study,human,2,2008,India,IND,Car Nicobar,Andaman & Nicobar,polygon,,,para_ras1,,30,9.17554,92.77588,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
293,1,1,0,30,divided pool,confirmed malaria cases in non-Pk study,human,2,2009,India,IND,Car Nicobar,Andaman & Nicobar,polygon,,,para_ras1,,30,9.17554,92.77588,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
294,1,1,0,23,actual,confirmed malaria cases in non-Pk study,human,2,2009,India,IND,Teressa,Andaman & Nicobar,point,8.29104,93.10733,,,,,,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
295,1,1,0,76,actual,confirmed malaria cases in non-Pk study,human,2,2010,India,IND,Campbell Bay,Andaman & Nicobar,point,7.01842,93.92182,,,,,,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
296,0,1,0,16,actual,confirmed malaria cases in non-Pk study,human,2,2011,India,IND,Nancoury,Andaman & Nicobar,point,7.98895,93.55184,,,,,,901,"Tyagi RK, Das MK, Singh SS, Sharma YD (2013) Discordance in drug resistance-associated mutation patterns in marker genes of Plasmodium falciparum and Plasmodium knowlesi during coinfections. Journal of Antimicrobial Chemotherapy 68: 1081-1088.",,,,
325,0,1,0,22,divided pool,confirmed Pv by dHPLC cases,human,1,2001,Cambodia,KHM,Laing Av,Rattanakiri,point,14.05377,106.98484,,,,,,934,"Steenkeste N, Rogers WO, Okell L, Jeanne I, Incardona S, et al. (2010) Sub-microscopic malaria cases and mixed malaria infection in a remote area of high malaria endemicity in Rattanakiri province, Cambodia: implication for malaria elimination. Malar J 9: 108.",,,,
326,0,1,0,22,divided pool,confirmed Pv by dHPLC cases,human,1,2001,Cambodia,KHM,Pahoy,Rattanakiri,point,14.05100,106.96200,,,,,,934,"Steenkeste N, Rogers WO, Okell L, Jeanne I, Incardona S, et al. (2010) Sub-microscopic malaria cases and mixed malaria infection in a remote area of high malaria endemicity in Rattanakiri province, Cambodia: implication for malaria elimination. Malar J 9: 108.","Steenkeste N, Incardona S, Chy S, Duval L, Ekala MT, et al. (2009) Towards high-throughput molecular detection of Plasmodium: new approaches and molecular markers. Malar J 8: 86.",,,
327,0,1,0,22,divided pool,confirmed Pv by dHPLC cases,human,1,2001,Cambodia,KHM,Roy,Rattanakiri,point,13.82586,107.23752,,,,,,934,"Steenkeste N, Rogers WO, Okell L, Jeanne I, Incardona S, et al. (2010) Sub-microscopic malaria cases and mixed malaria infection in a remote area of high malaria endemicity in Rattanakiri province, Cambodia: implication for malaria elimination. Malar J 9: 108.",,,,
328,0,1,0,22,divided pool,confirmed Pv by dHPLC cases,human,1,2001,Cambodia,KHM,Touch,Rattanakiri,point,13.72649,107.26773,,,,,,934,"Steenkeste N, Rogers WO, Okell L, Jeanne I, Incardona S, et al. (2010) Sub-microscopic malaria cases and mixed malaria infection in a remote area of high malaria endemicity in Rattanakiri province, Cambodia: implication for malaria elimination. Malar J 9: 108.",,,,
329,0,1,0,22,divided pool,confirmed Pv by dHPLC cases,human,1,2001,Cambodia,KHM,Chet,Rattanakiri,point,13.67312,107.25125,,,,,,934,"Steenkeste N, Rogers WO, Okell L, Jeanne I, Incardona S, et al. (2010) Sub-microscopic malaria cases and mixed malaria infection in a remote area of high malaria endemicity in Rattanakiri province, Cambodia: implication for malaria elimination. Malar J 9: 108.",,,,
330,0,1,0,22,divided pool,confirmed Pv by dHPLC cases,human,1,2001,Cambodia,KHM,Paor,Rattanakiri,point,13.63209,107.14214,,,,,,934,"Steenkeste N, Rogers WO, Okell L, Jeanne I, Incardona S, et al. (2010) Sub-microscopic malaria cases and mixed malaria infection in a remote area of high malaria endemicity in Rattanakiri province, Cambodia: implication for malaria elimination. Malar J 9: 108.",,,,
331,0,1,0,22,divided pool,confirmed Pv by dHPLC cases,human,1,2001,Cambodia,KHM,Tung,Rattanakiri,point,13.64143,107.30281,,,,,,934,"Steenkeste N, Rogers WO, Okell L, Jeanne I, Incardona S, et al. (2010) Sub-microscopic malaria cases and mixed malaria infection in a remote area of high malaria endemicity in Rattanakiri province, Cambodia: implication for malaria elimination. Malar J 9: 108.",,,,
332,0,1,0,22,divided pool,confirmed Pv by dHPLC cases,human,1,2001,Cambodia,KHM,Yasom,Rattanakiri,point,13.61607,107.29595,,,,,,934,"Steenkeste N, Rogers WO, Okell L, Jeanne I, Incardona S, et al. (2010) Sub-microscopic malaria cases and mixed malaria infection in a remote area of high malaria endemicity in Rattanakiri province, Cambodia: implication for malaria elimination. Malar J 9: 108.",,,,
335,0,1,0,102,actual,cross section,human,1,2001,Cambodia,KHM,Ping,Rattanakiri,point,13.82496,107.09540,,,,,,138,"Steenkeste N, Incardona S, Chy S, Duval L, Ekala MT, et al. (2009) Towards high-throughput molecular detection of Plasmodium: new approaches and molecular markers. Malar J 8: 86.",,,,
336,0,1,0,134,actual,cross section,human,1,2001,Cambodia,KHM,Pahoy,Rattanakiri,point,14.051,106.962,,,,,,138,"Steenkeste N, Incardona S, Chy S, Duval L, Ekala MT, et al. (2009) Towards high-throughput molecular detection of Plasmodium: new approaches and molecular markers. Malar J 8: 86.",,,,
337,0,1,0,101,actual,cross section,human,1,2001,Cambodia,KHM,Smach,Rattanakiri,point,13.58100,107.18200,,,,,,138,"Steenkeste N, Incardona S, Chy S, Duval L, Ekala MT, et al. (2009) Towards high-throughput molecular detection of Plasmodium: new approaches and molecular markers. Malar J 8: 86.",,,,
343,0,1,0,382,divided pool,mosquitoes,mosquito,1,2010,Vietnam,VNM,Bu Gia Map,Binh Phuoc Province,point,11.75000,106.71667,,,,,,1081,"Chung Thuy N, Dubois G, Sinou V, Parzy D, Le HQ, et al. (2014) Diversity of Anopheles mosquitoes in Binh Phuoc and Dak Nong Provinces of Vietnam and their relation to disease. Parasites and Vectors 7: 316.",,,,
344,0,1,0,382,divided pool,mosquitoes,mosquito,1,2010,Vietnam,VNM,Dak Ngo,Dak Nong Province,point,11.98333,107.70000,,,,,,1081,"Chung Thuy N, Dubois G, Sinou V, Parzy D, Le HQ, et al. (2014) Diversity of Anopheles mosquitoes in Binh Phuoc and Dak Nong Provinces of Vietnam and their relation to disease. Parasites and Vectors 7: 316.",,,,
348,0,1,0,53,actual,confirmed malaria cases in non-Pk study,human,2,2012,Myanmar,MMR,Bagu,,polygon,,,Admin2,1011884,,18.25000,96.25000,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
350,0,1,0,44,actual,confirmed malaria cases in non-Pk study,human,2,2007,Myanmar,MMR,Kawthaung,,polygon,,,Admin2,1012048,,11.04972,98.84735,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
356,0,1,0,2,actual,confirmed malaria cases in non-Pk study,human,2,2006,Thailand,THA,Mae_Sot,Tak Province,polygon,,,Admin2,27105,,16.72154,98.71074,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
357,0,1,0,1,actual,confirmed malaria cases in non-Pk study,human,2,2007,Thailand,THA,Mae_Sot,Tak Province,polygon,,,Admin2,27105,,16.72154,98.71074,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
358,0,1,0,21,actual,confirmed malaria cases in non-Pk study,human,2,2008,Thailand,THA,Mae_Sot,Tak Province,polygon,,,Admin2,27105,,16.72154,98.71074,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
360,0,1,0,1,actual,confirmed malaria cases in non-Pk study,human,2,2007,Cambodia,KHM,Pailin,Pailin,polygon,,,Admin1,805,,12.86667,102.60000,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
361,0,1,0,38,actual,confirmed malaria cases in non-Pk study,human,2,2008,Cambodia,KHM,Pailin,,polygon,,,Admin1,805,,12.86667,102.60000,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
362,0,1,0,9,actual,confirmed malaria cases in non-Pk study,human,2,2009,Cambodia,KHM,Pailin,Pailin,polygon,,,Admin1,805,,12.86667,102.60000,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
364,0,1,0,124,actual,confirmed malaria cases in non-Pk study,human,2,2007,Vietnam,VNM,Phuoc Long,,polygon,,,Admin2,1000706,,11.81142,106.99670,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
366,0,1,0,7,actual,confirmed malaria cases in non-Pk study,human,2,2013,Cambodia,KHM,Preah_Vihear,Preah Vihear,polygon,,,Admin1,807,,13.75000,105.00000,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
368,0,1,0,13,actual,confirmed malaria cases in non-Pk study,human,2,2009,Cambodia,KHM,Pursat,Pursat,polygon,,,Admin1,809,,12.33333,103.66667,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
369,0,1,0,67,actual,confirmed malaria cases in non-Pk study,human,2,2010,Cambodia,KHM,Pursat,,polygon,,,Admin1,809,,12.33333,103.66667,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
370,0,1,0,126,actual,confirmed malaria cases in non-Pk study,human,2,2011,Cambodia,KHM,Pursat,,polygon,,,Admin1,809,,12.33333,103.66667,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
371,0,1,0,13,actual,confirmed malaria cases in non-Pk study,human,2,2013,Cambodia,KHM,Pursat,Pursat,polygon,,,Admin1,809,,12.33333,103.66667,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
372,0,1,0,13,actual,confirmed malaria cases in non-Pk study,human,2,2011,Thailand,THA,Ranong,Ranong Province,polygon,,,Admin1,2900,,10.10000,98.75000,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
373,0,1,0,46,actual,confirmed malaria cases in non-Pk study,human,2,2011,Cambodia,KHM,Ratanakiri,,polygon,,,Admin1,810,,13.83333,107.11667,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
375,0,1,0,8,actual,confirmed malaria cases in non-Pk study,human,2,2013,Cambodia,KHM,Ratanakiri,Ratanak Kiri,polygon,,,Admin1,810,,13.83333,107.11667,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
377,0,1,0,53,actual,confirmed malaria cases in non-Pk study,human,2,2008,Cambodia,KHM,Tasanh,,point,12.59722,102.85305,,,,,,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
378,0,1,0,43,actual,confirmed malaria cases in non-Pk study,human,2,2007,Laos,LAO,Xepon,,polygon,,,Admin2,18718,,16.76113,106.33757,,"Manske M, Amato R, Kwiatkowski D (2015) personal communication",,,,
404,0,1,0,371,actual,suspected malaria cases,human,1,2010,Saudi Arabia,SAU,Saudi Arabia,Saudi Arabia,polygon,,,,,,,,1287,Bin Dajem SM (2015) Molecular investigation of mixed malaria infections in Southwest Saudi Arabia. Saudi medical journal 36: 248-251.,,,,
416,1,1,0,799,actual,index malaria cases and household,human,2,2014,Indonesia,IDN,Aceh Besar District,Nanggroe Aceh Darusalam,polygon,,,Admin2,1013341,,5.37540,95.51766,1335,"Coutrier F, Cotter C, Tirta YK, Schwartz A, Zarlinder I, et al. (2015) Serial molecular identification to confirm the presence of Plasmodium knowlesi in Indonesia. American Society of Tropical Medicine and Hygiene, Meeting Abstracts.",,,,
8,1,0,0,,,patients,human,1,2010,Cambodia,KHM,"Borhuytbong Village, Pailin Province",Pailin Province,point,12.85122,102.54575,,,,,,175,"Khim N, Siv S, Kim S, Mueller T, Fleischmann E, et al. (2011) Plasmodium knowlesi infection in humans, Cambodia, 2007-2010. Emerging Infectious Diseases 17: 1900-1902.","Mueller TC, Siv S, Khim N, Kim S, Fleischmann E, et al. (2014) Acute undifferentiated febrile illness in rural cambodia: a 3-year prospective observational study. PloS ONE 9: e95868.",,,
