ID,Start_month,Start_year,End_month,End_year,Host,Community,N_prevalence,No_Positive,Prevalence,Lower_age,Upper_age,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Site_name_2,Latitude_2,Longitude_2,Coordinate_source_2,Site_name_3,Latitude_3,Longitude_3,Coordinate_source_3,Site_name_4,Latitude_4,Longitude_4,Coordinate_source_4,Site_name_5,Latitude_5,Longitude_5,Coordinate_source_5,Site_name_6,Latitude_6,Longitude_6,Coordinate_source_6,Site_name_7,Latitude_7,Longitude_7,Coordinate_source_7,Admin2_1,Admin2_2,Admin1_1,Publication_year,Source_1,Source_2
104,6,2008,6,2008,Homo sapiens,,44,0,0,1,89,Positive in two independent serological tests,Ecuador,point,Makuma,-2.05989,-77.74768,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Guevara, A. G. et al. Seroepidemiological study of chagas disease in the southern Amazon region of ecuador. Trop. Med. Health 41, 21-25 (2013).",
137,5,2005,7,2008,Homo sapiens,,122,2,0.016393443,2,99,Positive in two independent serological tests,Panama,point,La Culaca,8.51667,-81.04972,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Saldaña, A. et al. A new endemic focus of Chagas disease in the northern region of Veraguas province, western half Panama, Central America. PLoS One 7 (2013).","Saldana, A. et al. A New Endemic Focus of Chagas Disease in the Northern Region of Veraguas Province, Western Half Panama, Central America. Plos One 7 (2012)."
138,5,2005,7,2008,Homo sapiens,,328,12,0.036585366,2,99,Positive in two independent serological tests,Panama,point,El Pantano,8.55,-81.08333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Saldaña, A. et al. A new endemic focus of Chagas disease in the northern region of Veraguas province, western half Panama, Central America. PLoS One 7 (2013).","Saldana, A. et al. A New Endemic Focus of Chagas Disease in the Northern Region of Veraguas Province, Western Half Panama, Central America. Plos One 7 (2012)."
139,5,2005,7,2008,Homo sapiens,,418,8,0.019138756,2,99,Positive in two independent serological tests,Panama,point,Sabaneta de El Macho,8.49139,-81.12778,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Saldaña, A. et al. A new endemic focus of Chagas disease in the northern region of Veraguas province, western half Panama, Central America. PLoS One 7 (2013).","Saldana, A. et al. A New Endemic Focus of Chagas Disease in the Northern Region of Veraguas Province, Western Half Panama, Central America. Plos One 7 (2012)."
140,5,2005,7,2008,Homo sapiens,,188,24,0.127659574,2,99,Positive in two independent serological tests,Panama,point,Gatu,8.53306,-80.93306,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Saldaña, A. et al. A new endemic focus of Chagas disease in the northern region of Veraguas province, western half Panama, Central America. PLoS One 7 (2013).","Saldana, A. et al. A New Endemic Focus of Chagas Disease in the Northern Region of Veraguas Province, Western Half Panama, Central America. Plos One 7 (2012)."
308,6,2009,9,2009,Homo sapiens,,91,0,0,0,99,Positive in two independent serological tests,Brazil,point,Lagoa do Frade,,,,,,,,,,,,,,,,,,,,,,,,,,,,7063,,,2012,"Sarquis, O. et al. Eco-epidemiology of Chagas disease in northeastern Brazil: Triatoma brasiliensis, T. pseudomaculata and Rhodnius nasutus in the sylvatic, peridomestic and domestic environments. Parasitol. Res. 110, 1481-1485 (2012).",
309,6,2009,9,2009,Homo sapiens,,35,0,0,0,99,Positive in two independent serological tests,Brazil,point,Alto do Camaleao,,,,,,,,,,,,,,,,,,,,,,,,,,,,7063,,,2012,"Sarquis, O. et al. Eco-epidemiology of Chagas disease in northeastern Brazil: Triatoma brasiliensis, T. pseudomaculata and Rhodnius nasutus in the sylvatic, peridomestic and domestic environments. Parasitol. Res. 110, 1481-1485 (2012).",
310,6,2009,9,2009,Homo sapiens,,42,0,0,0,99,Positive in two independent serological tests,Brazil,point,Fazenda Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,7063,,,2012,"Sarquis, O. et al. Eco-epidemiology of Chagas disease in northeastern Brazil: Triatoma brasiliensis, T. pseudomaculata and Rhodnius nasutus in the sylvatic, peridomestic and domestic environments. Parasitol. Res. 110, 1481-1485 (2012).",
311,6,2009,9,2009,Homo sapiens,,7,0,0,0,99,Positive in two independent serological tests,Brazil,point,Cacode,,,,,,,,,,,,,,,,,,,,,,,,,,,,7063,,,2012,"Sarquis, O. et al. Eco-epidemiology of Chagas disease in northeastern Brazil: Triatoma brasiliensis, T. pseudomaculata and Rhodnius nasutus in the sylvatic, peridomestic and domestic environments. Parasitol. Res. 110, 1481-1485 (2012).",
312,,,,,Homo sapiens,,155,0,0,0,10,Positive in two independent serological tests,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
313,,,,,Homo sapiens,,244,2,0.008196721,11,20,Positive in two independent serological tests,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
314,,,,,Homo sapiens,,212,1,0.004716981,21,30,Positive in two independent serological tests,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
315,,,,,Homo sapiens,,160,2,0.0125,31,40,Positive in two independent serological tests,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
316,,,,,Homo sapiens,,305,8,0.026229508,40,99,Positive in two independent serological tests,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
395,2,2010,10,2010,Homo sapiens,,64,8,0.125,24,35,Positive in two independent serological tests,Mexico,point,Santiago Queretaro,20.593,-100.39211,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Lopez-Cespedes, A. et al. Trypanosoma cruzi: Seroprevalence Detection in Suburban Population of Santiago de Queretaro (Mexico). Scientific World Journal (2012).",
396,2,2010,10,2010,Homo sapiens,,126,17,0.134920635,36,50,Positive in two independent serological tests,Mexico,point,Santiago Queretaro,20.593,-100.39211,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Lopez-Cespedes, A. et al. Trypanosoma cruzi: Seroprevalence Detection in Suburban Population of Santiago de Queretaro (Mexico). Scientific World Journal (2012).",
397,2,2010,10,2010,Homo sapiens,,68,3,0.044117647,51,81,Positive in two independent serological tests,Mexico,point,Santiago Queretaro,20.593,-100.39211,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Lopez-Cespedes, A. et al. Trypanosoma cruzi: Seroprevalence Detection in Suburban Population of Santiago de Queretaro (Mexico). Scientific World Journal (2012).",
402,,1997,,1997,Homo sapiens,,1398,524,0.374821173,60,99,Positive in two independent serological tests,Brazil,point,Bambui,-20.01464,-45.97504,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Beleigoli, A. M., Lima-Costa, M. F., Haueisen Diniz, M. d. F. & Ribeiro, A. L. B-type natriuretic peptide and anthropometric measures in a Brazilian elderly population with a high prevalence of Trypanosoma cruzi infection. Peptides 32, 1787-1792 (2011).",
421,,,,,Homo sapiens,,2800,3,0.001071429,15,20,Positive in two independent serological tests,Mexico,point,Campeche,19.83015,-90.53492,Google Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Ucan Balan, L. et al. Higher seroprevalence of Trypanosoma cruzi infection in dogs than in humans in an urban area of Campeche, Mexico. Vector Borne Zoonotic Dis. 11, 843-844 (2011).",
428,8,2008,11,2008,Homo sapiens,,513,5,0.009746589,1,18,Positive in two independent serological tests,Peru,point,La Joya district,-16.73729,-71.88352,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Delgado, S. et al. A History of Chagas Disease Transmission, Control, and Re-Emergence in Peri-Rural La Joya, Peru. PLoS Negl. Trop. Dis. 5 (2011).","Delgado, S. et al. Spatio-temporal perspectives on prevalence of Trypanosoma cruzi infection in peri-urban Arequipa, Peru. Am. J. Trop. Med. Hyg. 81, 138-138 (2009)."
429,8,2008,11,2008,Homo sapiens,,820,96,0.117073171,19,99,Positive in two independent serological tests,Peru,point,La Joya district,-16.73729,-71.88352,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Delgado, S. et al. A History of Chagas Disease Transmission, Control, and Re-Emergence in Peri-Rural La Joya, Peru. PLoS Negl. Trop. Dis. 5 (2011).","Delgado, S. et al. Spatio-temporal perspectives on prevalence of Trypanosoma cruzi infection in peri-urban Arequipa, Peru. Am. J. Trop. Med. Hyg. 81, 138-138 (2009)."
460,3,2008,3,2008,Homo sapiens,,73,3,0.04109589,0,99,Positive in two independent serological tests,Bolivia,point,Camata,-15.16667,-68.76667,Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Depickere, S., Duran, P., Lopez, R. & Chavez, T. Presence of intradomicile colonies of the triatomine bug Panstrongylus rufotuberculatus in Munecas, La Paz, Bolivia. Acta Tropica 117, 97-100 (2011).",
461,3,2008,3,2008,Homo sapiens,,61,0,0,0,99,Positive in two independent serological tests,Bolivia,point,Carijana,-15.21667,-68.76667,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Depickere, S., Duran, P., Lopez, R. & Chavez, T. Presence of intradomicile colonies of the triatomine bug Panstrongylus rufotuberculatus in Munecas, La Paz, Bolivia. Acta Tropica 117, 97-100 (2011).",
462,3,2008,3,2008,Homo sapiens,,32,0,0,0,99,Positive in two independent serological tests,Bolivia,point,Cohasi,-15.26667,-68.73333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Depickere, S., Duran, P., Lopez, R. & Chavez, T. Presence of intradomicile colonies of the triatomine bug Panstrongylus rufotuberculatus in Munecas, La Paz, Bolivia. Acta Tropica 117, 97-100 (2011).",
463,3,2008,3,2008,Homo sapiens,,28,0,0,0,99,Positive in two independent serological tests,Bolivia,point,Marumpampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,6184,,,2011,"Depickere, S., Duran, P., Lopez, R. & Chavez, T. Presence of intradomicile colonies of the triatomine bug Panstrongylus rufotuberculatus in Munecas, La Paz, Bolivia. Acta Tropica 117, 97-100 (2011).",
464,3,2008,3,2008,Homo sapiens,,20,0,0,0,99,Positive in two independent serological tests,Bolivia,point,Siatha,-15.21667,-68.63333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Depickere, S., Duran, P., Lopez, R. & Chavez, T. Presence of intradomicile colonies of the triatomine bug Panstrongylus rufotuberculatus in Munecas, La Paz, Bolivia. Acta Tropica 117, 97-100 (2011).",
465,3,2008,3,2008,Homo sapiens,,3,0,0,0,99,Positive in two independent serological tests,Bolivia,point,Upiruhuaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40446,2011,"Depickere, S., Duran, P., Lopez, R. & Chavez, T. Presence of intradomicile colonies of the triatomine bug Panstrongylus rufotuberculatus in Munecas, La Paz, Bolivia. Acta Tropica 117, 97-100 (2011).",
500,4,2007,4,2007,Homo sapiens,,175,25,0.142857143,0,99,Positive in genetic test,Brazil,point,Santa Maria,-3.93917,-62.77111,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,"Monteiro, W. M. et al. Trypanosoma cruzi TcIII/Z3 genotype as agent of an outbreak of Chagas disease in the Brazilian Western Amazonia. Trop. Med. Int. Health. 15, 1049-1051 (2010).","Silveira, H. (2015) personal communication"
531,,2006,,2007,Homo sapiens,,76,4,0.052631579,0.5,82,Positive in two independent serological tests,Panama,point,Union Herrerana,9.00651,-78.77266,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,"Calzada, J. E. et al. Short report: Human Trypanosomiasis in the Eastern Region of the Panama Province: New endemic areas for Chagas disease. Am. J. Trop. Med. Hyg. 82, 580-582 (2010).",
532,,2006,,2007,Homo sapiens,,16,0,0,0.5,82,Positive in two independent serological tests,Panama,point,Jaguito,8.99498,-78.6676,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,"Calzada, J. E. et al. Short report: Human Trypanosomiasis in the Eastern Region of the Panama Province: New endemic areas for Chagas disease. Am. J. Trop. Med. Hyg. 82, 580-582 (2010).",
533,,2006,,2007,Homo sapiens,,17,3,0.176470588,0.5,82,Positive in two independent serological tests,Panama,point,Rio La Mina,8.8661,-78.75687,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,"Calzada, J. E. et al. Short report: Human Trypanosomiasis in the Eastern Region of the Panama Province: New endemic areas for Chagas disease. Am. J. Trop. Med. Hyg. 82, 580-582 (2010).",
534,,2006,,2007,Homo sapiens,,45,1,0.022222222,0.5,82,Positive in two independent serological tests,Panama,point,La Placita,8.9353,-78.89969,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,"Calzada, J. E. et al. Short report: Human Trypanosomiasis in the Eastern Region of the Panama Province: New endemic areas for Chagas disease. Am. J. Trop. Med. Hyg. 82, 580-582 (2010).",
535,,2006,,2007,Homo sapiens,,50,4,0.08,0.5,82,Positive in two independent serological tests,Panama,point,El Nazareno,8.90002,-78.85849,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,"Calzada, J. E. et al. Short report: Human Trypanosomiasis in the Eastern Region of the Panama Province: New endemic areas for Chagas disease. Am. J. Trop. Med. Hyg. 82, 580-582 (2010).",
537,,,,,Homo sapiens,,66,6,0.090909091,8,79,Direct examination,Venezuela,point,Rio Brito,10.31696,-64.14202,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,"Berrizbeitia, M. et al. 85-kDa protein of Trypanosoma cruzi purified by affinity chromatography used in the multiple antigen binding assay (MABA) for the diagnosis of T. cruzi infection in a Venezuelan rural community. Parasitol. Res. 106, 1127-1134 (2010).",
539,1,2009,12,2009,Homo sapiens,,15,2,0.133333333,0,12,Positive in two independent serological tests,Mexico,point,Merida,20.9823,-89.62262,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,"Jimenez-Coello, M., Guzman-Marin, E., Ortega-Pacheco, A. & Acosta-Viana, K. Y. Serological survey of American Trypanosomiasis in dogs and their owners from an urban area of Merida Yucatan, Mexico. Transbound. Emerg. Dis. 57, 33-36 (2010).","Acosta-Viana, K. Y. (2015) personal communication"
540,1,2009,12,2009,Homo sapiens,,60,4,0.066666667,13,99,Positive in two independent serological tests,Mexico,point,Merida,20.9823,-89.62262,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,"Jimenez-Coello, M., Guzman-Marin, E., Ortega-Pacheco, A. & Acosta-Viana, K. Y. Serological survey of American Trypanosomiasis in dogs and their owners from an urban area of Merida Yucatan, Mexico. Transbound. Emerg. Dis. 57, 33-36 (2010).","Acosta-Viana, K. Y. (2015) personal communication"
543,,,,,Homo sapiens,,998,255,0.255511022,26,99,Positive in two independent serological tests,Brazil,polygon,Agua Comprida municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,7877,,,2010,"Silva-Grecco, R. L., Balarin, M. A. S., Correia, D., Prata, A. & Rodrigues, V., Jr. Familial analysis of seropositivity to Trypanosoma cruzi and of clinical forms of Chagas disease. Am. J. Trop. Med. Hyg. 82, 45-48 (2010).",
551,6,2001,8,2003,Homo sapiens,,534,42,0.078651685,0,99,Positive in two independent serological tests,Ecuador,point,Cruz Alta,-1.00786,-80.27035,Google Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,"Black, C. L. et al. Seroprevalence of Trypanosoma cruzi in rural Ecuador and clustering of seropositivity within households. Am. J. Trop. Med. Hyg. 81, 1035-1040 (2009).",
553,6,2001,8,2003,Homo sapiens,,223,11,0.049327354,0,99,Positive in two independent serological tests,Ecuador,point,Pimpiguasi,-1.01507,-80.36119,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,"Black, C. L. et al. Seroprevalence of Trypanosoma cruzi in rural Ecuador and clustering of seropositivity within households. Am. J. Trop. Med. Hyg. 81, 1035-1040 (2009).",
556,6,2001,8,2003,Homo sapiens,,175,3,0.017142857,0,99,Positive in two independent serological tests,Ecuador,point,Los Angeles,-1.88333,-79.86667,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,"Black, C. L. et al. Seroprevalence of Trypanosoma cruzi in rural Ecuador and clustering of seropositivity within households. Am. J. Trop. Med. Hyg. 81, 1035-1040 (2009).",
557,6,2001,8,2003,Homo sapiens,,337,2,0.005934718,0,99,Positive in two independent serological tests,Ecuador,point,Macul,-1.61667,-79.86667,"Pinto, C. M., Ocana-Mayorga, S., Lascano, M. S. & Grijalva, M. J. Infection by trypanosomes in marsupials and rodents associated with human dwellings in Ecuador. J. Parasitol. 92, 1251-1255 (2006).",,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,"Black, C. L. et al. Seroprevalence of Trypanosoma cruzi in rural Ecuador and clustering of seropositivity within households. Am. J. Trop. Med. Hyg. 81, 1035-1040 (2009).",
558,6,2001,8,2003,Homo sapiens,,222,3,0.013513514,0,99,Positive in two independent serological tests,Ecuador,point,Puerto Rico,-1.53333,-80.01667,"Pinto, C. M., Ocana-Mayorga, S., Lascano, M. S. & Grijalva, M. J. Infection by trypanosomes in marsupials and rodents associated with human dwellings in Ecuador. J. Parasitol. 92, 1251-1255 (2006).",,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,"Black, C. L. et al. Seroprevalence of Trypanosoma cruzi in rural Ecuador and clustering of seropositivity within households. Am. J. Trop. Med. Hyg. 81, 1035-1040 (2009).",
559,6,2001,8,2003,Homo sapiens,,100,2,0.02,0,99,Positive in two independent serological tests,Ecuador,point,San Antonio,-1.61667,-80.03333,"Pinto, C. M., Ocana-Mayorga, S., Lascano, M. S. & Grijalva, M. J. Infection by trypanosomes in marsupials and rodents associated with human dwellings in Ecuador. J. Parasitol. 92, 1251-1255 (2006).",,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,"Black, C. L. et al. Seroprevalence of Trypanosoma cruzi in rural Ecuador and clustering of seropositivity within households. Am. J. Trop. Med. Hyg. 81, 1035-1040 (2009).",
