ID,Start_month,Start_year,End_month,End_year,Host,Host class 1,Host class 2,N_occurrence,Presence/absence,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Admin2_1,Admin1_1,Public_year,Source_1,Source_2
489,8,2008,8,2008,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,La Cienega,-4.241,-79.583,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
490,6,2006,6,2006,Panstrongylus chinai,Panstrongylus,vector,,1,Positive in genetic test,Ecuador,point,La Extensa,-4.045,-79.361,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
491,2,2009,2,2009,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,La Extensa,-4.044,-79.36,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
492,2,2009,2,2009,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,Sabanilla,-4.039,-79.761,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
495,7,2008,7,2008,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,San Jacinto,-4.106,-79.347,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
496,2,2009,2,2009,Panstrongylus chinai,Panstrongylus,vector,,1,Positive in genetic test,Ecuador,point,Santa Ester,-4.125,-79.558,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
497,7,2008,7,2008,Panstrongylus chinai,Panstrongylus,vector,,1,Positive in genetic test,Ecuador,point,Santa Rita,-4.116,-79.348,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
498,7,2007,7,2007,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,Galapagos,-4.353,-79.432,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
499,8,2007,8,2007,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,La Cienega,-4.241,-79.583,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
853,11,2000,4,2002,Triatoma brasiliensis,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Currais do Felipe,-4.77789,-37.80069,Paper,,,2005,"Pacheco, R. S. et al. Genetic heterogeneity in Trypanosoma cruzi strains from naturally infected triatomine vectors in northeastern Brazil: Epidemiological implications. Biochem. Genet. 43, 519-530 (2005).",
854,11,2000,4,2002,Triatoma pseudomaculata,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Currais do Felipe,-4.77789,-37.80069,Paper,,,2005,"Pacheco, R. S. et al. Genetic heterogeneity in Trypanosoma cruzi strains from naturally infected triatomine vectors in northeastern Brazil: Epidemiological implications. Biochem. Genet. 43, 519-530 (2005).",
855,11,2000,4,2002,Triatoma brasiliensis,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Pacatanha,-4.88941,-37.65616,Paper,,,2005,"Pacheco, R. S. et al. Genetic heterogeneity in Trypanosoma cruzi strains from naturally infected triatomine vectors in northeastern Brazil: Epidemiological implications. Biochem. Genet. 43, 519-530 (2005).",
856,11,2000,4,2002,Triatoma brasiliensis,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Corrego Salgado,-4.96564,-37.71735,Google Maps,,,2005,"Pacheco, R. S. et al. Genetic heterogeneity in Trypanosoma cruzi strains from naturally infected triatomine vectors in northeastern Brazil: Epidemiological implications. Biochem. Genet. 43, 519-530 (2005).",
857,11,2000,4,2002,Triatoma brasiliensis,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Lagoa Vermelha,-4.91906,-37.79289,Google Maps,,,2005,"Pacheco, R. S. et al. Genetic heterogeneity in Trypanosoma cruzi strains from naturally infected triatomine vectors in northeastern Brazil: Epidemiological implications. Biochem. Genet. 43, 519-530 (2005).",
893,,,,,Triatoma vitticeps,Triatoma,vector,,1,Positive in genetic test,Brazil,points,Reintroduction areas,,,,9976,,2004,"Lisboa, C. V. et al. Distinct patterns of Trypanosoma cruzi infection in Leontopithecus rosalia in distinct Atlantic coastal rainforest fragments in Rio de Janeiro-Brazil. Parasitology 129, 703-711 (2004).",
894,,,,,Panstrongylus megistus,Panstrongylus,vector,,1,Positive in genetic test,Brazil,point,Uniao reserve,-22.43063,-42.05669,Paper,,,2004,"Lisboa, C. V. et al. Distinct patterns of Trypanosoma cruzi infection in Leontopithecus rosalia in distinct Atlantic coastal rainforest fragments in Rio de Janeiro-Brazil. Parasitology 129, 703-711 (2004).",
897,1,1999,11,2001,Triatoma infestans,Triatoma,vector,,1,Direct examination and genetic test,Argentina,polygon,300km2 around Tres Estacas,,,,4808,,2003,"Diosque, P. et al. Multilocus enzyme electrophoresis analysis of Trypanosoma cruzi isolates from a geographically restricted endemic area for Chagas' disease in Argentina. Int. J. Parasitol. 33, 997-1003 (2003).",
907,12,2007,12,2007,Triatoma dispar,Triatoma,vector,,1,Positive in genetic test,Costa Rica,point,Reserva Biologica Alberto Manuel Brenes (ReBAMB),10.28844,-84.62154,http://biblioteca.catie.ac.cr:5050/repositorioforestal/bitstream/123456789/6562/1/Plan_General_de_Manejo_RB%20Alberto%20Manuel%20Brenes.pdf,,,2009,"Valerio, I., Chinchilla, M. & Sanchez, R. Triatoma dispar a new wild vector of Trypanosoma cruzi in Costa Rica: Implication in the epidemiology of Chagas disease. Rev. Ibero-Latinoam. Parasitol. 68, 137-141 (2009).","Chinchilla, M. (2015) personal communication"
908,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Alto del Carmen,,,,,885,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
909,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Tierra Amarilla,-27.46851,-70.26396,Paper,,,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
910,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Mallorca,,,,,885,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
911,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Alto del Puerto,-33.08826,-71.61396,GeoNames,,,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
912,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Chincolco,-32.22078,-70.84032,GeoNames,,,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
913,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,San Antonio,-33.59473,-71.60746,GeoNames,,,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
914,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Pedernal,,,,,896,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
915,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Petorca,-32.25299,-70.9316,Paper,,,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
916,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Sobrante,-32.22971,-70.79399,GeoNames,,,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
917,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,San Felipe,-32.74976,-70.72584,GeoNames,,,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
918,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Calera de Tango,-33.62976,-70.76753,Paper,,,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
919,,2005,,2007,Triatoma infestans,Triatoma,vector,,1,Positive in genetic test,Chile,point,Sanatorio,,,,,893,2011,"Venegas, J. et al. Geographical structuring of Trypanosoma cruzi populations from Chilean Triatoma infestans triatomines and their genetic relationship with other Latino American counterparts. Ann. Trop. Med. Parasitol. 105, 625-646 (2011).",
932,5,2001,4,2002,Panstrongylus rufotuberculatus,Panstrongylus,vector,,1,Direct examination,Venezuela,point,El Hatillo,10.42994,-66.8161,GeoNames,,,2009,"Zavala-Jaspe, R., Abate, T., Reyes-Lugo, M., de Noya B, A. & Diaz-Bello, Z. Panstrongylus rufotuberculatus (Champion, 1899) naturally infected with Trypanosoma cruzi in Miranda state, Venezuela. Bol. Mal. Salud Amb. 49, 309-311 (2009).",
933,6,2005,6,2005,Panstrongylus geniculatus,Panstrongylus,vector,,1,Positive in genetic test,Venezuela,point,El Morro,,,,,3316,2005,"Anez, N., Saavedra, C., Crisante, G., Rojas, A. & Lizano, E. Natural Trypanosoma cruzi infection in Panstrongylus geniculatus (Latreille, 1811) from the mountain region of Merida, Venezuela. Bol. Mal. Salud Amb. 45, 139-141 (2005).","Anez, N. (2015) personal communication"
934,,,,,Panstrongylus rufotuberculatus,Panstrongylus,vector,,1,Direct examination,Costa Rica,point,Parque Nacional Manuel Antonio,9.39252,-84.13712,Google Maps,,,2004,"Arguedas, O. C., Troyo, A. & Chinchilla, M. Trypanosoma cruzi (Kinetoplastida: Trypanosomatidae) natural infection in Panstrongylus rufotuberculatus from Costa Rica. Parasitol. Latinoam. 59, 65-67 (2004).",
1164,5,1999,5,1999,Triatoma infestans,Triatoma,vector,,1,Direct examination,Argentina,point,Bajo di Lucca,,,,,440,2005,"Lauricella, M. A., Stariolo, R. L., Riarte, A. R., Segura, E. L. & Gurtler, R. E. Distribution and pathogenicity of Trypanosoma cruzi isolated from peridomestic populations of Triatoma infestans and Triatoma guasayana from rural Western Argentina. Mem. Inst. Oswaldo Cruz 100, 123-129 (2005).",
1165,5,1999,5,1999,Triatoma infestans,Triatoma,vector,,1,Direct examination,Argentina,point,El Simbolar,-30.6,-65.9056,http://postal-codes.findthedata.com/l/6483/5276-Simbolar,,,2005,"Lauricella, M. A., Stariolo, R. L., Riarte, A. R., Segura, E. L. & Gurtler, R. E. Distribution and pathogenicity of Trypanosoma cruzi isolated from peridomestic populations of Triatoma infestans and Triatoma guasayana from rural Western Argentina. Mem. Inst. Oswaldo Cruz 100, 123-129 (2005).",
1166,5,1999,5,1999,Triatoma infestans,Triatoma,vector,,1,Direct examination,Argentina,point,Los Bordos,,,,,440,2005,"Lauricella, M. A., Stariolo, R. L., Riarte, A. R., Segura, E. L. & Gurtler, R. E. Distribution and pathogenicity of Trypanosoma cruzi isolated from peridomestic populations of Triatoma infestans and Triatoma guasayana from rural Western Argentina. Mem. Inst. Oswaldo Cruz 100, 123-129 (2005).",
1167,5,1999,5,1999,Triatoma infestans,Triatoma,vector,,1,Direct examination,Argentina,point,San Felipe-Olta,,,,,440,2005,"Lauricella, M. A., Stariolo, R. L., Riarte, A. R., Segura, E. L. & Gurtler, R. E. Distribution and pathogenicity of Trypanosoma cruzi isolated from peridomestic populations of Triatoma infestans and Triatoma guasayana from rural Western Argentina. Mem. Inst. Oswaldo Cruz 100, 123-129 (2005).",
1168,5,1999,5,1999,Triatoma infestans,Triatoma,vector,,1,Direct examination,Argentina,point,La Aguadita,-30.78333,-66.43333,GeoNames,,,2005,"Lauricella, M. A., Stariolo, R. L., Riarte, A. R., Segura, E. L. & Gurtler, R. E. Distribution and pathogenicity of Trypanosoma cruzi isolated from peridomestic populations of Triatoma infestans and Triatoma guasayana from rural Western Argentina. Mem. Inst. Oswaldo Cruz 100, 123-129 (2005).",
1169,5,1999,5,1999,Triatoma infestans,Triatoma,vector,,1,Direct examination,Argentina,point,Tala Verde,-30.52359,-66.16193,GeoNames,,,2005,"Lauricella, M. A., Stariolo, R. L., Riarte, A. R., Segura, E. L. & Gurtler, R. E. Distribution and pathogenicity of Trypanosoma cruzi isolated from peridomestic populations of Triatoma infestans and Triatoma guasayana from rural Western Argentina. Mem. Inst. Oswaldo Cruz 100, 123-129 (2005).",
1170,5,1999,5,1999,Triatoma guasayana,Triatoma,vector,,1,Direct examination,Argentina,point,El Simbolar,-30.6,-65.9056,http://postal-codes.findthedata.com/l/6483/5276-Simbolar,,,2005,"Lauricella, M. A., Stariolo, R. L., Riarte, A. R., Segura, E. L. & Gurtler, R. E. Distribution and pathogenicity of Trypanosoma cruzi isolated from peridomestic populations of Triatoma infestans and Triatoma guasayana from rural Western Argentina. Mem. Inst. Oswaldo Cruz 100, 123-129 (2005).",
1193,4,2003,4,2003,Triatoma rubrovaria,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Quarai?-Branquilhos I,-30.38281,-56.41911,http://www.scielo.br/img/revistas/rsbmt/v39n2/a13fig01.gif,,,2008,"Martins, L. P. A. et al. Rural Triatoma rubrovaria from Southern Brazil harbors Trypanosoma cruzi of lineage IIc. Am. J. Trop. Med. Hyg. 79, 427-434 (2008).",
1194,4,2003,4,2003,Triatoma rubrovaria,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Quarai?-Macarrao I,-30.33526,-56.40601,http://www.scielo.br/img/revistas/rsbmt/v39n2/a13fig01.gif,,,2008,"Martins, L. P. A. et al. Rural Triatoma rubrovaria from Southern Brazil harbors Trypanosoma cruzi of lineage IIc. Am. J. Trop. Med. Hyg. 79, 427-434 (2008).",
1195,4,2003,4,2003,Triatoma rubrovaria,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Quarai?-Macarrao II,-30.33526,-56.40601,http://www.scielo.br/img/revistas/rsbmt/v39n2/a13fig01.gif,,,2008,"Martins, L. P. A. et al. Rural Triatoma rubrovaria from Southern Brazil harbors Trypanosoma cruzi of lineage IIc. Am. J. Trop. Med. Hyg. 79, 427-434 (2008).",
1196,4,2003,4,2003,Triatoma rubrovaria,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Quarai?-Jarau I,-30.30488,-56.48539,http://www.scielo.br/img/revistas/rsbmt/v39n2/a13fig01.gif,,,2008,"Martins, L. P. A. et al. Rural Triatoma rubrovaria from Southern Brazil harbors Trypanosoma cruzi of lineage IIc. Am. J. Trop. Med. Hyg. 79, 427-434 (2008).",
1197,4,2003,4,2003,Triatoma rubrovaria,Triatoma,vector,,1,Positive in genetic test,Brazil,point,Quarai?-Jarau II,-30.30488,-56.48539,http://www.scielo.br/img/revistas/rsbmt/v39n2/a13fig01.gif,,,2008,"Martins, L. P. A. et al. Rural Triatoma rubrovaria from Southern Brazil harbors Trypanosoma cruzi of lineage IIc. Am. J. Trop. Med. Hyg. 79, 427-434 (2008).",
1214,7,2001,7,2001,Triatoma sanguisuga,Triatoma,vector,,1,Direct examination and genetic test,United States of America,point,Nashville,36.20878,-86.72415,Google Maps,,,2006,"Newsome, A. L. & McGhee, C. R. Trypanosoma cruzi in triatomes from an urban and a domestic setting in middle Tennessee. J. Tenn. Acad. Sci. 81, 62-65 (2006).",
1215,10,2005,10,2005,Triatoma sanguisuga,Triatoma,vector,,1,Direct examination and genetic test,United States of America,polygon,Cannon County,,,,31112,,2006,"Newsome, A. L. & McGhee, C. R. Trypanosoma cruzi in triatomes from an urban and a domestic setting in middle Tennessee. J. Tenn. Acad. Sci. 81, 62-65 (2006).",
1233,,,,,Rhodnius prolixus,Rhodnius,vector,,1,Positive in genetic test,Colombia,point,Manzanal,11.17328,-73.60388,Paper,,,2009,"Rodriguez, I. B. et al. Transmission dynamics of Trypanosoma cruzi determined by low-stringency single primer polymerase chain reaction and southern blot analyses in four indigenous communities of the Sierra Nevada de Santa Marta, Colombia. Am. J. Trop. Med. Hyg. 81, 396-403 (2009).",
1234,,,,,Rhodnius prolixus,Rhodnius,vector,,1,Positive in genetic test,Colombia,point,Kasakumake,11.16994,-73.61092,Paper,,,2009,"Rodriguez, I. B. et al. Transmission dynamics of Trypanosoma cruzi determined by low-stringency single primer polymerase chain reaction and southern blot analyses in four indigenous communities of the Sierra Nevada de Santa Marta, Colombia. Am. J. Trop. Med. Hyg. 81, 396-403 (2009).",
1235,,,,,Rhodnius prolixus,Rhodnius,vector,,1,Positive in genetic test,Colombia,point,Gumake,11.14136,-73.63301,Paper,,,2009,"Rodriguez, I. B. et al. Transmission dynamics of Trypanosoma cruzi determined by low-stringency single primer polymerase chain reaction and southern blot analyses in four indigenous communities of the Sierra Nevada de Santa Marta, Colombia. Am. J. Trop. Med. Hyg. 81, 396-403 (2009).",
1236,,,,,Rhodnius prolixus,Rhodnius,vector,,1,Positive in genetic test,Colombia,point,Umandita,11.12373,-73.64321,Paper,,,2009,"Rodriguez, I. B. et al. Transmission dynamics of Trypanosoma cruzi determined by low-stringency single primer polymerase chain reaction and southern blot analyses in four indigenous communities of the Sierra Nevada de Santa Marta, Colombia. Am. J. Trop. Med. Hyg. 81, 396-403 (2009).",
1237,,,,,Triatoma dimidiata,Triatoma,vector,,1,Positive in genetic test,Colombia,point,Gumake,11.14136,-73.63301,Paper,,,2009,"Rodriguez, I. B. et al. Transmission dynamics of Trypanosoma cruzi determined by low-stringency single primer polymerase chain reaction and southern blot analyses in four indigenous communities of the Sierra Nevada de Santa Marta, Colombia. Am. J. Trop. Med. Hyg. 81, 396-403 (2009).",
2060,11,2014,11,2014,Triatoma dispar,Triatoma,vector,1,1,Positive in genetic test,Costa Rica,point,Reserva Biologica Alberto Manuel Brenes (ReBAMB),10.28844,-84.62154,http://biblioteca.catie.ac.cr:5050/repositorioforestal/bitstream/123456789/6562/1/Plan_General_de_Manejo_RB%20Alberto%20Manuel%20Brenes.pdf,,,,"Chinchilla, M. (2015) personal communication",
2096,,1999,,1999,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Bunkwi?make ,11.13633,-73.77401,Paper,,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
2097,,2000,,2000,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Kasaku?make ,,,,13694,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
2098,,2000,,2000,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Gu?make ,11.13229,-73.57488,Paper,,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
2099,,2000,,2000,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Umandita ,11.13229,-73.57488,Paper,,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
2100,,2000,,2000,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Manzanal ,10.9504,-73.4804,GeoNames,,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
2101,,2000,,2000,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Jiwata? ,11.05851,-73.6741,Paper,,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
2102,,2000,,2000,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Nimaizhi ,10.97763,-73.50382,Paper,,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
2103,,2000,,2000,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Kemaku?make ,11.21368,-73.95181,Paper,,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
2104,,2000,,2000,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Ulueizhi ,11.19595,-73.8746,Paper,,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
2105,,2000,,2000,Triatoma dimidiata,Triatoma,vector,,1,Direct examination,Colombia,point,Ableizhi ,11.13398,-73.87872,Paper,,,2011,"Dib, J. C. Enfermedad de Chagas en las comunidaded indigenas de la Sierra Nevada de Santa Marta. (Bogotá, Colombia, 2011).",
