ID,Start_month,Start_year,End_month,End_year,Host,Host class 1,Host class 2,N_prevalence,No_Positive,Prevalence,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Site_name_2,Latitude_2,Longitude_2,Coordinate_source_2,Site_name_3,Latitude_3,Longitude_3,Coordinate_source_3,Site_name_4,Latitude_4,Longitude_4,Coordinate_source_4,Site_name_5,Latitude_5,Longitude_5,Coordinate_source_5,Site_name_6,Latitude_6,Longitude_6,Coordinate_source_6,Site_name_7,Latitude_7,Longitude_7,Coordinate_source_7,Site_name_8,Latitude_8,Longitude_8,Coordinate_source_8,Admin2_1,Admin1_1,Admin0,Publication_year,Source_1,Source_2
53,8,2009,2,2012,Leopardus pardalis,wild mammal (excluding rodents/bats/primates),alternative host,2,2,1,Positive in one serological test,Brazil,point,Nhecolandia,-18.975,-56.62333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Rocha, F. L. et al. Trypanosoma cruzi infection in neotropical wild carnivores (Mammalia: Carnivora): At the top of the T-cruzi transmission chain. PLoS One 8 (2013).",
54,4,2010,4,2010,Nasua nasua,wild mammal (excluding rodents/bats/primates),alternative host,44,21,0.477272727,Positive in one serological test,Brazil,point,Nhecolandia,-18.975,-56.62333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Rocha, F. L. et al. Trypanosoma cruzi infection in neotropical wild carnivores (Mammalia: Carnivora): At the top of the T-cruzi transmission chain. PLoS One 8 (2013).",
55,8,2009,2,2012,Procyon cancrivorus,wild mammal (excluding rodents/bats/primates),alternative host,12,9,0.75,Positive in one serological test,Brazil,point,Nhecolandia,-18.975,-56.62333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Rocha, F. L. et al. Trypanosoma cruzi infection in neotropical wild carnivores (Mammalia: Carnivora): At the top of the T-cruzi transmission chain. PLoS One 8 (2013).",
56,4,2004,8,2008,Chrysocyon brachyurus,wild mammal (excluding rodents/bats/primates),alternative host,43,11,0.255813953,Positive in one serological test,Brazil,polygon,Serra da Canastra National Park (SCNP) and surroundings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,,2013,"Rocha, F. L. et al. Trypanosoma cruzi infection in neotropical wild carnivores (Mammalia: Carnivora): At the top of the T-cruzi transmission chain. PLoS One 8 (2013).",
57,4,2008,7,2011,Cerdocyon thous,wild mammal (excluding rodents/bats/primates),alternative host,27,9,0.333333333,Positive in one serological test,Brazil,points,Araguari municipality,-18.63017,-48.17567,Paper,Cumari municipality,-18.367,-48.091333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Rocha, F. L. et al. Trypanosoma cruzi infection in neotropical wild carnivores (Mammalia: Carnivora): At the top of the T-cruzi transmission chain. PLoS One 8 (2013).",
58,4,2008,7,2011,Chrysocyon brachyurus,wild mammal (excluding rodents/bats/primates),alternative host,4,0,0,Positive in one serological test,Brazil,points,Araguari municipality,-18.63017,-48.17567,Paper,Cumari municipality,-18.367,-48.091333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Rocha, F. L. et al. Trypanosoma cruzi infection in neotropical wild carnivores (Mammalia: Carnivora): At the top of the T-cruzi transmission chain. PLoS One 8 (2013).",
59,4,2008,7,2011,Lycalopex vetulus,wild mammal (excluding rodents/bats/primates),alternative host,21,15,0.714285714,Positive in one serological test,Brazil,points,Araguari municipality,-18.63017,-48.17567,Paper,Cumari municipality,-18.367,-48.091333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Rocha, F. L. et al. Trypanosoma cruzi infection in neotropical wild carnivores (Mammalia: Carnivora): At the top of the T-cruzi transmission chain. PLoS One 8 (2013).",
60,4,2008,7,2011,Puma concolor,wild mammal (excluding rodents/bats/primates),alternative host,2,2,1,Positive in one serological test,Brazil,points,Araguari municipality,-18.63017,-48.17567,Paper,Cumari municipality,-18.367,-48.091333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Rocha, F. L. et al. Trypanosoma cruzi infection in neotropical wild carnivores (Mammalia: Carnivora): At the top of the T-cruzi transmission chain. PLoS One 8 (2013).",
63,11,2008,11,2008,Didelphis marsupialis,marsupial,alternative host,1,1,1,Positive in one serological test,Brazil,point,A1 Genipauba,-1.74772,-48.9082,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
64,4,2008,11,2008,Marmosa murina,marsupial,alternative host,3,2,0.666666667,Positive in one serological test,Brazil,point,A1 Genipauba,-1.74772,-48.9082,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
65,11,2008,11,2008,Metachirus nudicaudatus,marsupial,alternative host,1,0,0,Hemoculture or xenodiagnosis,Brazil,point,A1 Genipauba,-1.74772,-48.9082,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
66,4,2008,11,2008,Philander opossum,marsupial,alternative host,7,6,0.857142857,Positive in one serological test,Brazil,point,A1 Genipauba,-1.74772,-48.9082,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
67,11,2008,11,2008,Proechimys roberti,rodent,alternative host,1,0,0,Positive in one serological test,Brazil,point,A1 Genipauba,-1.74772,-48.9082,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
68,11,2008,11,2008,Molossus rufus,bat,alternative host,1,0,0,Hemoculture or xenodiagnosis,Brazil,point,A1 Genipauba,-1.74772,-48.9082,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
69,11,2008,11,2008,Didelphis marsupialis,marsupial,alternative host,2,2,1,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
70,4,2008,4,2008,Marmosa murina,marsupial,alternative host,1,1,1,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
71,11,2008,11,2008,Marmosa demerarae,marsupial,alternative host,1,1,1,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
72,4,2008,4,2008,Philander opossum,marsupial,alternative host,7,4,0.571428571,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
73,4,2008,4,2008,Mus musculus,domestic mammals,alternative host,1,0,0,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
74,11,2008,11,2008,Hylaeamys megacephalus,rodent,alternative host,1,0,0,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
75,4,2008,4,2008,Artibeus spp.,bat,alternative host,1,0,0,Hemoculture or xenodiagnosis,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
76,8,2008,12,2008,Didelphis marsupialis,marsupial,alternative host,10,10,1,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
77,8,2008,8,2008,Marmosa murina,marsupial,alternative host,1,0,0,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
78,8,2008,8,2008,Metachirus nudicaudatus,marsupial,alternative host,1,0,0,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
79,8,2008,8,2008,Marmosa demerarae,marsupial,alternative host,1,0,0,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
80,8,2008,12,2008,Philander opossum,marsupial,alternative host,7,5,0.714285714,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
81,12,2008,12,2008,Nectomys rattus,rodent,alternative host,1,0,0,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
82,8,2008,8,2008,Rattus rattus,rodent,alternative host,1,0,0,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
83,12,2008,12,2008,Rhipidomys spp.,rodent,alternative host,2,0,0,Hemoculture or xenodiagnosis,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
84,8,2008,12,2008,Artibeus spp.,bat,alternative host,22,1,0.045454545,Hemoculture or xenodiagnosis,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
85,8,2008,8,2008,Carollia perspicillata,bat,alternative host,3,0,0,Hemoculture or xenodiagnosis,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
86,12,2008,12,2008,Molossus rufus,bat,alternative host,2,0,0,Hemoculture or xenodiagnosis,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
87,12,2008,12,2008,Sturnira lilium,bat,alternative host,2,0,0,Hemoculture or xenodiagnosis,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
88,8,2008,8,2008,Tamandua tetradactyla,wild mammal (excluding rodents/bats/primates),alternative host,1,1,1,Hemoculture or xenodiagnosis,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
89,4,2008,4,2008,Canis familiaris,domestic mammals,alternative host,4,0,0,Positive in one serological test,Brazil,point,A1 Genipauba,-1.74772,-48.9082,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
90,4,2008,4,2008,Sus scrofa domesticus,livestock,alternative host,7,4,0.571428571,Positive in one serological test,Brazil,point,A1 Genipauba,-1.74772,-48.9082,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
91,11,2008,11,2008,Sus scrofa domesticus,livestock,alternative host,18,1,0.055555556,Positive in one serological test,Brazil,point,A1 Genipauba,-1.74772,-48.9082,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
92,4,2008,4,2008,Canis familiaris,domestic mammals,alternative host,7,4,0.571428571,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
93,11,2008,11,2008,Canis familiaris,domestic mammals,alternative host,11,3,0.272727273,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
94,4,2008,4,2008,Sus scrofa domesticus,livestock,alternative host,25,23,0.92,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
95,11,2008,11,2008,Sus scrofa domesticus,livestock,alternative host,11,4,0.363636364,Positive in one serological test,Brazil,point,A2 Ajuai,-1.75733,-49.03797,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
96,8,2008,8,2008,Canis familiaris,domestic mammals,alternative host,51,23,0.450980392,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
97,8,2008,8,2008,Sus scrofa domesticus,livestock,alternative host,9,0,0,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
98,12,2008,12,2008,Canis familiaris,domestic mammals,alternative host,94,16,0.170212766,Positive in one serological test,Brazil,point,A3,-1.72404,-48.8773,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Roque, A. L. R. et al. Trypanosoma cruzi among wild and domestic mammals in different areas of the Abaetetuba municipality (Para State, Brazil), an endemic Chagas disease transmission area. Vet. Parasitol. 193, 71-77 (2013).",
99,10,2009,4,2010,Didelphis virginiana,marsupial,alternative host,38,21,0.552631579,"Direct examination, and PCR",Mexico,point,Molas,20.81659,-89.62942,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Parada-Lopez, J. et al. Trypanosoma cruzi infection in Didelphis virginiana in relation to population parameters and variables associated with presence in rural community dwellings in Yucatan, Mexico. Ecohealth 10, 31-35 (2013).",
105,8,2008,12,2008,Canis familiaris,domestic mammals,alternative host,100,50,0.5,Positive in genetic test,Argentina,points,10 de Mayo,,,,Las Chuñas,,,,,,,,,,,,,,,,,,,,,,,,,,,,4540,,,2013,"Enriquez, G. F. et al. Discrete typing units of Trypanosoma cruzi identified in rural dogs and cats in the humid Argentinean Chaco. Parasitology 140, 303-308 (2013).",
106,8,2008,12,2008,Felis catus,domestic mammals,alternative host,29,18,0.620689655,Positive in genetic test,Argentina,points,10 de Mayo,,,,Las Chuñas,,,,,,,,,,,,,,,,,,,,,,,,,,,,4540,,,2013,"Enriquez, G. F. et al. Discrete typing units of Trypanosoma cruzi identified in rural dogs and cats in the humid Argentinean Chaco. Parasitology 140, 303-308 (2013).",
112,2,2007,9,2010,Canis familiaris,domestic mammals,alternative host,214,63,0.294392523,Positive in two independent serological tests,Brazil,polygon,Serra da Canastra National Park (SCNP) and surroundings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,,2013,"Rocha, F. L. et al. Trypanosoma cruzi TcI and TcII transmission among wild carnivores, small mammals and dogs in a conservation unit and surrounding areas, Brazil. Parasitology 140, 160-170 (2013).",
113,3,2007,8,2011,Chrysocyon brachyurus,wild mammal (excluding rodents/bats/primates),alternative host,39,8,0.205128205,Positive in two independent serological tests,Brazil,polygon,Serra da Canastra National Park (SCNP) and surroundings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,,2013,"Rocha, F. L. et al. Trypanosoma cruzi TcI and TcII transmission among wild carnivores, small mammals and dogs in a conservation unit and surrounding areas, Brazil. Parasitology 140, 160-170 (2013).",
