ID,Start_month,Start_year,End_month,End_year,Host,Host class 1,Host class 2,N_prevalence,No_Positive,Prevalence,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Site_name_2,Latitude_2,Longitude_2,Coordinate_source_2,Site_name_3,Latitude_3,Longitude_3,Coordinate_source_3,Site_name_4,Latitude_4,Longitude_4,Coordinate_source_4,Site_name_5,Latitude_5,Longitude_5,Coordinate_source_5,Site_name_6,Latitude_6,Longitude_6,Coordinate_source_6,Admin2_1,Admin2_2,Admin2_3,Admin2_4,Admin2_5,Admin1_1,Admin1_2,Admin1_3,Public_year,Source_1,Source_2
11,11,2008,11,2008,Triatoma infestans,Triatoma,vector,1,1,1,Positive in genetic test,Bolivia,point,Cotapachi,-17.425,-66.265,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).",
12,9,2010,9,2010,Triatoma infestans,Triatoma,vector,1,0,0,Positive in genetic test,Bolivia,point,Thago Thago,-18.01194,-65.80889,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).",
15,9,2003,11,2003,Rhodnius pallescens,Rhodnius,vector,8,4,0.5,Positive in genetic test,Colombia,point,El Recreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
16,9,2003,11,2003,Rhodnius pallescens,Rhodnius,vector,6,3,0.5,Positive in genetic test,Colombia,point,San Fernando,,,,,,,,,,,,,,,,,,,,,,,,13520,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
17,9,2003,11,2003,Rhodnius pallescens,Rhodnius,vector,11,7,0.636363636,Positive in genetic test,Colombia,point,San Valentin,9.35083,-74.24472,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
18,9,2003,11,2003,Rhodnius pallescens,Rhodnius,vector,3,0,0,Positive in genetic test,Colombia,point,Menchiquejo,9.18738,-74.04343,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
19,9,2003,11,2003,Rhodnius pallescens,Rhodnius,vector,1,1,1,Positive in genetic test,Colombia,point,Tierra Firme,9.22995,-74.39691,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
20,9,2003,11,2003,Rhodnius pallescens,Rhodnius,vector,10,4,0.4,Positive in genetic test,Colombia,point,Troncocito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
21,1,2004,4,2004,Rhodnius pallescens,Rhodnius,vector,5,4,0.8,Positive in genetic test,Colombia,point,El Recreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
22,1,2004,4,2004,Rhodnius pallescens,Rhodnius,vector,8,4,0.5,Positive in genetic test,Colombia,point,San Fernando,,,,,,,,,,,,,,,,,,,,,,,,13520,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
23,1,2004,4,2004,Rhodnius pallescens,Rhodnius,vector,8,6,0.75,Positive in genetic test,Colombia,point,San Valentin,9.35083,-74.24472,Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
24,1,2004,4,2004,Rhodnius pallescens,Rhodnius,vector,4,4,1,Positive in genetic test,Colombia,point,Menchiquejo,9.18738,-74.04343,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
25,1,2004,4,2004,Rhodnius pallescens,Rhodnius,vector,1,1,1,Positive in genetic test,Colombia,point,Tierra Firme,9.22995,-74.39691,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
26,1,2004,4,2004,Rhodnius pallescens,Rhodnius,vector,1,1,1,Positive in genetic test,Colombia,point,Troncocito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
61,3,2010,10,2010,Triatoma dimidiata,Triatoma,vector,370,81,0.218918919,Positive in genetic test,Mexico,point,Dzidzilche,21.13333,-89.68333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Reyes-Novelo, E. et al. Triatoma dimidiata (Latreille) abundance and infection with Trypanosoma cruzi in a rural community of Yucatan, Mexico. Neotrop. Entomol. 42, 317-324 (2013).",
100,3,2010,5,2010,Triatoma dimidiata,Triatoma,vector,44,18,0.409090909,Positive in genetic test,Mexico,point,San Juan Bautista Sakcabchen,19.92278,-89.92806,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Monteon, V., Alducin, C., Hernandez, J., Ramos-Ligonio, A. & Lopez, R. High frequency of human blood in Triatoma dimidiata captured inside dwellings in a rural community in the Yucatan peninsula, Mexico, but low antibody seroprevalence and electrocardiographic findings compatible with chagas Disease in humans. Am. J. Trop. Med. Hyg. 88, 566-571 (2013).",
107,10,2008,2,2011,Mepraia gajardoi ,Mepraia,vector,77,8,0.103896104,Positive in genetic test,Chile,point,Corazones (Arica city),-18.47972,-70.32417,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Toledo, A. et al. Short report: Trypanosoma cruzi genotypes in Mepraia gajardoi from wild ecotopes in northern Chile. Am. J. Trop. Med. Hyg. 88, 285-288 (2013).",
108,10,2008,2,2011,Mepraia gajardoi ,Mepraia,vector,151,19,0.125827815,Positive in genetic test,Chile,point,Vitor,-18.7625,-70.34278,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Toledo, A. et al. Short report: Trypanosoma cruzi genotypes in Mepraia gajardoi from wild ecotopes in northern Chile. Am. J. Trop. Med. Hyg. 88, 285-288 (2013).",
109,10,2008,2,2011,Mepraia gajardoi ,Mepraia,vector,95,9,0.094736842,Positive in genetic test,Chile,point,Camarones,-19.20444,-70.26889,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Toledo, A. et al. Short report: Trypanosoma cruzi genotypes in Mepraia gajardoi from wild ecotopes in northern Chile. Am. J. Trop. Med. Hyg. 88, 285-288 (2013).",
110,10,2008,2,2011,Mepraia gajardoi ,Mepraia,vector,46,12,0.260869565,Positive in genetic test,Chile,point,Rio Seco,-21.00167,-70.16444,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Toledo, A. et al. Short report: Trypanosoma cruzi genotypes in Mepraia gajardoi from wild ecotopes in northern Chile. Am. J. Trop. Med. Hyg. 88, 285-288 (2013).",
111,10,2008,2,2011,Mepraia gajardoi ,Mepraia,vector,28,8,0.285714286,Positive in genetic test,Chile,point,San Marcos,-21.11604,-70.12391,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Toledo, A. et al. Short report: Trypanosoma cruzi genotypes in Mepraia gajardoi from wild ecotopes in northern Chile. Am. J. Trop. Med. Hyg. 88, 285-288 (2013).",
132,1,2009,11,2009,Meccus pallidipennis,Meccus,vector,103,23,0.223300971,Positive in genetic test,Mexico,points,Nuevo Capirio,18.86444,-102.11917,GeoNames,La Palma,20.1478,-102.7585,GeoNames,Taretan,19.3342,-101.91849,GeoNames,Crucero de Paracuaro,19.01667,-102.27778,Geonames,,,,,,,,,,,,,,,,,2013,"Ibanez-Cervantes, G. et al. Identification by Q-PCR of Trypanosoma cruzi lineage and determination of blood meal sources in triatomine gut samples in Mexico. Parasitol. Int. 62, 36-43 (2013).",
133,1,2009,11,2009,Meccus longipennis,Meccus,vector,3,2,0.666666667,Positive in genetic test,Mexico,points,La Palma,20.1478,-102.7585,GeoNames,Crucero de Paracuaro,19.01667,-102.27778,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Ibanez-Cervantes, G. et al. Identification by Q-PCR of Trypanosoma cruzi lineage and determination of blood meal sources in triatomine gut samples in Mexico. Parasitol. Int. 62, 36-43 (2013).",
134,1,2009,11,2009,Triatoma barberi,Triatoma,vector,3,1,0.333333333,Positive in genetic test,Mexico,point,La Palma,20.14475,-102.76249,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Ibanez-Cervantes, G. et al. Identification by Q-PCR of Trypanosoma cruzi lineage and determination of blood meal sources in triatomine gut samples in Mexico. Parasitol. Int. 62, 36-43 (2013).",
135,5,2005,7,2008,Rhodnius pallescens,Rhodnius,vector,136,93,0.683823529,Positive in genetic test,Panama,points,El Pantano,8.55,-81.08333,Paper,La Culaca,8.51667,-81.04972,Paper ,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Saldaña, A. et al. A new endemic focus of Chagas disease in the northern region of Veraguas province, western half Panama, Central America. PLoS One 7 (2013).",
136,5,2005,7,2008,Triatoma dimidiata,Triatoma,vector,117,25,0.213675214,Positive in genetic test,Panama,point,Sabaneta de El Macho,8.49139,-81.12778,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Saldaña, A. et al. A new endemic focus of Chagas disease in the northern region of Veraguas province, western half Panama, Central America. PLoS One 7 (2013).",
141,10,2007,10,2007,Triatoma infestans,Triatoma,vector,30,12,0.4,Positive in genetic test,Bolivia,point,Kuarirenda,-19.17719,-62.52671,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Perez, E. et al. Predominance of hybrid discrete typing units of Trypanosoma cruzi in domestic Triatoma infestans from the Bolivian Gran Chaco region. Infect. Genet. Evol. 13, 116-123 (2013).",
142,10,2007,10,2007,Triatoma infestans,Triatoma,vector,38,2,0.052631579,Positive in genetic test,Bolivia,point,San Silvestre,-19.35579,-62.5695,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Perez, E. et al. Predominance of hybrid discrete typing units of Trypanosoma cruzi in domestic Triatoma infestans from the Bolivian Gran Chaco region. Infect. Genet. Evol. 13, 116-123 (2013).",
143,10,2007,10,2007,Triatoma infestans,Triatoma,vector,84,24,0.285714286,Positive in genetic test,Bolivia,point,Rancho Nuevo,-19.43933,-62.56794,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Perez, E. et al. Predominance of hybrid discrete typing units of Trypanosoma cruzi in domestic Triatoma infestans from the Bolivian Gran Chaco region. Infect. Genet. Evol. 13, 116-123 (2013).",
144,10,2007,10,2007,Triatoma infestans,Triatoma,vector,96,54,0.5625,Positive in genetic test,Bolivia,point,Tamachindi,-19.47811,-62.56374,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Perez, E. et al. Predominance of hybrid discrete typing units of Trypanosoma cruzi in domestic Triatoma infestans from the Bolivian Gran Chaco region. Infect. Genet. Evol. 13, 116-123 (2013).",
145,4,2008,8,2009,Triatoma infestans,Triatoma,vector,43,21,0.488372093,Positive in genetic test,Bolivia,point,Kuarirenda,-19.17719,-62.52671,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Perez, E. et al. Predominance of hybrid discrete typing units of Trypanosoma cruzi in domestic Triatoma infestans from the Bolivian Gran Chaco region. Infect. Genet. Evol. 13, 116-123 (2013).",
146,4,2008,8,2009,Triatoma infestans,Triatoma,vector,16,3,0.1875,Positive in genetic test,Bolivia,point,San Silvestre,-19.35579,-62.5695,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Perez, E. et al. Predominance of hybrid discrete typing units of Trypanosoma cruzi in domestic Triatoma infestans from the Bolivian Gran Chaco region. Infect. Genet. Evol. 13, 116-123 (2013).",
147,4,2008,8,2009,Triatoma infestans,Triatoma,vector,46,30,0.652173913,Positive in genetic test,Bolivia,point,Rancho Nuevo,-19.43933,-62.56794,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Perez, E. et al. Predominance of hybrid discrete typing units of Trypanosoma cruzi in domestic Triatoma infestans from the Bolivian Gran Chaco region. Infect. Genet. Evol. 13, 116-123 (2013).",
148,4,2008,8,2009,Triatoma infestans,Triatoma,vector,39,22,0.564102564,Positive in genetic test,Bolivia,point,Tamachindi,-19.47811,-62.56374,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Perez, E. et al. Predominance of hybrid discrete typing units of Trypanosoma cruzi in domestic Triatoma infestans from the Bolivian Gran Chaco region. Infect. Genet. Evol. 13, 116-123 (2013).",
176,,2006,,2008,Triatoma dimidiata,Triatoma,vector,300,41,0.136666667,Positive in genetic test,Mexico,polygon,"Tezonapa, Amatlan de los Reyes, Zongolica, Tierra Blanca",,,,,,,,,,,,,,,,,,,,,,,,1011237,1011078,1011265,1011238,,,,,2012,"Ramos-Ligonio, A., Torres-Montero, J., Lopez-Monteon, A. & Dumonteil, E. Extensive diversity of Trypanosoma cruzi discrete typing units circulating in Triatoma dimidiata from central Veracruz, Mexico. Infect. Genet. Evol. 12, 1341-1343 (2012).","Torres-Montero, J., Lopez-Monteon, A., Dumonteil, E. & Ramos-Ligonio, A. House Infestation Dynamics and Feeding Sources of Triatoma dimidiata in Central Veracruz, Mexico. Am. J. Trop. Med. Hyg. 86, 677-682 (2012)."
177,9,2007,11,2007,Triatoma infestans,Triatoma,vector,114,69,0.605263158,Positive in genetic test,Argentina,points,Pampa del Indio municipality,,,,,,,,,,,,,,,,,,,,,,,,4540,,,,,,,,2012,"Maffey, L. et al. Direct molecular identification of Trypanosoma cruzi Discrete Typing Units in domestic and peridomestic Triatoma infestans and Triatoma sordida from the Argentine Chaco. Parasitology 139, 1570-1579 (2012).",
178,9,2007,11,2007,Triatoma sordida,Triatoma,vector,9,9,1,Positive in genetic test,Argentina,points,Pampa del Indio municipality,,,,,,,,,,,,,,,,,,,,,,,,4540,,,,,,,,2012,"Maffey, L. et al. Direct molecular identification of Trypanosoma cruzi Discrete Typing Units in domestic and peridomestic Triatoma infestans and Triatoma sordida from the Argentine Chaco. Parasitology 139, 1570-1579 (2012).",
194,9,2005,10,2005,Triatoma pallidipennis,Triatoma,vector,21,15,0.714285714,Positive in genetic test,Mexico,point,Site C,18.73023,-98.76675,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
195,9,2005,10,2005,Triatoma pallidipennis,Triatoma,vector,13,8,0.615384615,Positive in genetic test,Mexico,point,Site B,18.75656,-98.76915,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
196,9,2005,10,2005,Triatoma pallidipennis,Triatoma,vector,73,49,0.671232877,Positive in genetic test,Mexico,point,Site A,18.7692,-98.7743,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
197,3,2006,4,2006,Triatoma pallidipennis,Triatoma,vector,27,18,0.666666667,Positive in genetic test,Mexico,point,Site C,18.73023,-98.76675,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
198,3,2006,4,2006,Triatoma pallidipennis,Triatoma,vector,9,6,0.666666667,Positive in genetic test,Mexico,point,Site B,18.75656,-98.76915,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
199,3,2006,4,2006,Triatoma pallidipennis,Triatoma,vector,11,7,0.636363636,Positive in genetic test,Mexico,point,Site A,18.7692,-98.7743,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
231,,2003,,2008,Triatoma infestans,Triatoma,vector,222,141,0.635135135,Positive in genetic test,Chile,point,Cerro Lonquen,-33.66448,-70.81168,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Bacigalupo, A. et al. Differential pattern of infection of sylvatic nymphs and domiciliary adults of triatoma infestans with Trypanosoma cruzi genotypes in Chile. Am. J. Trop. Med. Hyg. 87, 473-480 (2012).",
236,11,2007,11,2008,Rhodnius spp,Rhodnius,vector,72,30,0.416666667,Positive in genetic test,Brazil,polygon,Oriximina? municipality,,,,,,,,,,,,,,,,,,,,,,,,8806,,,,,,,,2012,"Ricardo-Silva, A. H. et al. Correlation between populations of Rhodnius and presence of palm trees as risk factors for the emergence of Chagas disease in Amazon region, Brazil. Acta Tropica 123, 217-223 (2012).",
267,4,2009,11,2009,Triatoma infestans,Triatoma,vector,5,5,1,Positive in genetic test,Bolivia,point,Site 1,-16.68917,-68.01136,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Breniere, S. F. et al. Genetic characterization of Trypanosoma cruzi DTUs in wild Triatoma infestans from Bolivia: Predominance of TcI. PLoS. Negl. Trop. Dis. 6 (2012).",
268,4,2009,11,2009,Triatoma infestans,Triatoma,vector,2,1,0.5,Positive in genetic test,Bolivia,point,Site 2,-16.70222,-68.00453,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Breniere, S. F. et al. Genetic characterization of Trypanosoma cruzi DTUs in wild Triatoma infestans from Bolivia: Predominance of TcI. PLoS. Negl. Trop. Dis. 6 (2012).",
