ID,Start_month,Start_year,End_month,End_year,Host,Community,Lower_age,Upper_age,N_occurrence,Acute infection,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Admin2_1,Admin1_1,Publication_year,Source_1,Source_2
16809,,2004,,2004,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16810,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16811,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16812,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16813,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16814,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16815,,2010,,2010,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16816,,2011,,2011,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16817,,2012,,2012,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16818,,2000,,2000,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16819,,2001,,2001,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16820,,2002,,2002,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16821,,2003,,2003,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16822,,2004,,2004,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16823,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16824,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16825,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16826,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16827,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16828,,2010,,2010,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16829,,2011,,2011,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16830,,2012,,2012,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Santa Ana,,,,,1195,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16831,,2000,,2000,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16832,,2001,,2001,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16833,,2002,,2002,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16835,,2004,,2004,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16836,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16837,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16838,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16839,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16840,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16841,,2010,,2010,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16842,,2011,,2011,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16843,,2012,,2012,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Sonsonate,,,,,1196,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16849,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Chalatenango,,,,,1186,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16850,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Chalatenango,,,,,1186,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16851,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Chalatenango,,,,,1186,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16852,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Chalatenango,,,,,1186,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16857,,2000,,2000,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16858,,2001,,2001,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16859,,2002,,2002,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16861,,2004,,2004,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16862,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16863,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16864,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16866,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16868,,2011,,2011,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16869,,2012,,2012,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Libertad,,,,,1188,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16870,,2000,,2000,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16871,,2001,,2001,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16872,,2002,,2002,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16873,,2003,,2003,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16874,,2004,,2004,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16875,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16876,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16877,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16878,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
