"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","Admin_name","DiagnosticMetric","NumCases","IfPolygon_AdminLevel","ADMcode","ADMSource","Source","CasesMetric","SourceType"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-48.8690508661611,-1.74435272614621,"Abaetetuba","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8724","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-48.8690508661611,-1.74435272614621,"Abaetetuba","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8724","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-48.8690508661611,-1.74435272614621,"Abaetetuba","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8724","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-48.4108413798586,-2.03627359325423,"Acara","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8726","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-48.4108413798586,-2.03627359325423,"Acara","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8726","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-48.4108413798586,-2.03627359325423,"Acara","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8726","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-50.7738435156508,-0.285948257889688,"Afua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8727","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-50.7738435156508,-0.285948257889688,"Afua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8727","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-50.7738435156508,-0.285948257889688,"Afua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8727","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-50.7738435156508,-0.285948257889688,"Afua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8727","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-53.8714160400452,-6.45846953597282,"Altamira","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8731","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-36.0952180418285,-8.48669166784079,"Altinho","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_9497","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-49.9613705896589,-0.829894509979421,"Anajas","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8732","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-49.9613705896589,-0.829894509979421,"Anajas","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8732","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-49.9613705896589,-0.829894509979421,"Anajas","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8732","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-49.9613705896589,-0.829894509979421,"Anajas","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8732","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-49.9613705896589,-0.829894509979421,"Anajas","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8732","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-49.9613705896589,-0.829894509979421,"Anajas","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8732","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-49.9613705896589,-0.829894509979421,"Anajas","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8732","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-61.7164298849787,-3.50191297010164,"Anama","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_6474","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-61.7164298849787,-3.50191297010164,"Anama","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_6474","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-61.7164298849787,-3.50191297010164,"Anama","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_6474","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-48.2088896997375,-6.21800518374716,"Ananas","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_11705","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-48.3817798694687,-1.34005324485923,"Ananindeua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8733","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-48.3817798694687,-1.34005324485923,"Ananindeua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8733","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-48.3817798694687,-1.34005324485923,"Ananindeua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8733","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-48.3817798694687,-1.34005324485923,"Ananindeua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8733","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-48.3817798694687,-1.34005324485923,"Ananindeua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8733","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-48.3817798694687,-1.34005324485923,"Ananindeua","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8733","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-51.3011890148059,-3.99598050592693,"Anapu","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8734","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-59.4278725084558,-7.76246028726277,"Apui","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_6476","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-59.4278725084558,-7.76246028726277,"Apui","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_6476","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-52.1292272155851,-15.9667978552279,"Aragarcas","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_7231","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-48.1348504241139,-5.63281566275753,"Araguatins","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_11713","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-47.9189851127519,-5.497352584786,"Augustinopolis","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_11716","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-59.5283174952618,-3.788702535473,"Autazes","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_6478","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-44.0986153262989,-2.8488536484463,"Axixa","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_7469","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-47.7730370587718,-5.63304700964349,"Axixa do Tocantins","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_11718","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-50.1812979968424,-2.37300101509029,"Bagre","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8738","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-49.7290951875463,-3.18944694394265,"Baiao","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8739","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-49.7290951875463,-3.18944694394265,"Baiao","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8739","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-50.6339464714784,-7.48605946236314,"Bannach","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8740","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-48.612492777085,-1.55350095693243,"Barcarena","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8741","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-48.612492777085,-1.55350095693243,"Barcarena","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8741","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-48.612492777085,-1.55350095693243,"Barcarena","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8741","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-48.612492777085,-1.55350095693243,"Barcarena","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8741","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-48.612492777085,-1.55350095693243,"Barcarena","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8741","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-48.612492777085,-1.55350095693243,"Barcarena","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8741","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-48.612492777085,-1.55350095693243,"Barcarena","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8741","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-63.433196213763,-0.463041434346224,"Barcelos","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_6479","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-63.433196213763,-0.463041434346224,"Barcelos","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_6479","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-45.2540223887552,-5.65367348158376,"Barra do Corda","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_7476","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-48.4168540892066,-1.28683553550259,"Belem","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8742","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-48.4168540892066,-1.28683553550259,"Belem","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8742","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-48.4168540892066,-1.28683553550259,"Belem","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8742","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-48.4168540892066,-1.28683553550259,"Belem","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8742","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-48.4168540892066,-1.28683553550259,"Belem","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8742","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-48.4168540892066,-1.28683553550259,"Belem","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8742","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-48.4168540892066,-1.28683553550259,"Belem","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8742","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-48.2733236934764,-1.34052624042467,"Benevides","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8744","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-48.2733236934764,-1.34052624042467,"Benevides","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8744","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-48.2733236934764,-1.34052624042467,"Benevides","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8744","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-47.3020413074324,-1.38039028863652,"Bonito","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8746","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-46.7341549089154,-1.20450455215676,"Braganca","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8747","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-46.7341549089154,-1.20450455215676,"Braganca","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8747","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-46.7341549089154,-1.20450455215676,"Braganca","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8747","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-52.6845952959489,-3.29140777216083,"Brasil Novo","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8748","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-50.6232974583253,-1.13195013917402,"Breves","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8751","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-50.6232974583253,-1.13195013917402,"Breves","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8751","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-50.6232974583253,-1.13195013917402,"Breves","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8751","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-50.6232974583253,-1.13195013917402,"Breves","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8751","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-50.6232974583253,-1.13195013917402,"Breves","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8751","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-50.6232974583253,-1.13195013917402,"Breves","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8751","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-50.6232974583253,-1.13195013917402,"Breves","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8751","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-48.0898036554697,-1.63292900847915,"Bujaru","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8752","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-48.0898036554697,-1.63292900847915,"Bujaru","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8752","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-48.9157770524896,-0.842422546639903,"Cachoeira do Arari","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8753","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-61.3240412198228,-11.3008687824535,"Cacoal","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_10627","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-37.0392449289258,-6.47145815647777,"Caico","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_10008","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-49.5082574864259,-2.24930048404414,"Cameta","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8755","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-49.5082574864259,-2.24930048404414,"Cameta","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8755","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-49.5082574864259,-2.24930048404414,"Cameta","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8755","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2011,-49.5082574864259,-2.24930048404414,"Cameta","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8755","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2012,-49.5082574864259,-2.24930048404414,"Cameta","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8755","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2013,-49.5082574864259,-2.24930048404414,"Cameta","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8755","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
