Location_ID,Author_Year,Ref_Number,Year_MAYV_Start,Year_MAYV_End,Host_Type,Location_Description,Adm0,Adm1,Adm2,GAUL_code,Finer_Res,Location_Type,Admin_Level,X_Coord,Y_Coord,Coord_Source,Uncertainty_km,Uncertainty_Description,Diagnostic_Test,Positive_n,Denominator,Qual_score,Language
ADM0_09,"Pinheiro, 1974",Available at: https://iris.paho.org/handle/10665.2/27094,1971,1973,Animal,"Collection sites in Figure 1. Authors do not specify where MAYV-positive animals were found. Therefore, we were unable to georeference this entry beyond the Adm0 level.",Brazil,N/A,N/A,N/A,N/A,Administrative polygon,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,E
ADM0_09,"Sousa, 2019",Available at: https://repositorio.bc.ufg.br/tede/handle/tede/9468,2017,2017,Human,"Study was carried out at the Hospital das Armed Forces, Brasília-DF. The authors note that patients at the hospital come from many states throughout the country. Therefore, there was not enough geographic detail to georeference anything.",Brazil,N/A,N/A,N/A,N/A,Administrative polygon,0,N/A,N/A,N/A,N/A,N/A,RT-PCR,2,58,10,P
ADM0_10,"Karbaat, 1964",PMID: 14265514,1961,1961,Human,"The article states that soldiers spent ""three months in Paramaribo and nine months in the several camps in the interior"". Therefore, we were unable to georeference this entry beyond the Adm0 level.",Suriname,N/A,N/A,N/A,N/A,Administrative polygon,0,N/A,N/A,N/A,N/A,N/A,HI; NT,22 positive by HI; 17 positive by NT,374,10,E
ADM1_01,"Tesh, 1999",PMID: 10028074,1995,1998,Human,"The article states that patients with MAYV were seen at health facilities Huanuco. Huanuco is the name of a state, locality, and city in Peru. Due to the lack of further geographic information, we will be conservative and georeference the largest area (Huanuco state).",Peru,Huanuco,N/A,2337,N/A,Administrative Polygon,1,-76,-9.5,GeoNames,185,Measured from coordinates to the furthest point in the province,ELISA; Viral culture,21 isolations out of 27 seropositive overall. (Unsure how many positive per location),N/A,9,E
ADM1_02,"Anderson, 1957",PMID: 13487973,1954,1954,Human,"MAYV was isolated from ""a worker in the Piparo Forest"". There is a forested area near the town of Piparo, but the description is too vague to georeference.",Trinidad,Princes Town,N/A,2984,N/A,Administrative polygon,1,-61.38182,10.26746,GeoNames,30,Measured from coordinates to the furthest point in the province,Viral culture,1 isolate,N/A,10,E
ADM1_03,"Carrera, 2018",PMID: 29737271,2010,2010,Human,"Patients from  Darién Province, in eastern Panamá. No additional geographic information provided.",Panama,Darien,N/A,93670,N/A,Administrative Polygon,1,-77.88333,8.08333,GeoNames,111,Distance from coordinates to furthest point in the region,ELISA; NT,1 positive by ELISA and confirmed by PRNT,72,11,E
ADM1_04,"Aguilar-Luis, 2020",PMID: 31978575,2017,2017,Human,"Article states that, ""Ten urban primary care health centers within Cajamarca’s Regional Health Direction participated in the study"". No further geographic information provided.",Peru,Cajamarca,N/A,2333,N/A,Administrative Polygon,1,-78.83333,-6.25,GeoNames,182,Distance from coordinates to farthest point in the state,RT-PCR,40,359,10,E
ADM1_05,"Casseb, 2016",DOI: 10.1590/1808-1657000202014,2009,2009,Animal,"Blood was collected from animals living in the ""six mesoregions"" of Pará State. The author describes the meso-regions of Para, BR but doesn't specify the ADM2 units where the MAYV-positive animals were found.",Brazil,Para,N/A,678,N/A,Administrative polygon,1,-53,-4,GeoNames,716,Distance from coordinates to farthest point in the state,HI,40,753,11,E
ADM1_05,Causey 1957,PMID: 13487974,1955,1955,Human,"Article states that MAYV was detected in ""the Fazenda Fronteira situated on the Guama River in the State of Para approximately 120 miles east of Belem."" We were unable to identify this location and decided that georeferencing the ADM1 unit was the most conservative decision.",Brazil,Para,N/A,678,Fazenda Fronteira,Administrative Polygon,1,-53,-4,GeoNames,716,Distance from coordinates to farthest point in the state,HI; NT; Viral culture,6 isolates; 14 with antibodies to Semliki Forest virus,115 (initial survey); 37 (follow-up survey),12,E
ADM1_05,"Powers, 2006",PMID: 16968922,1961,1991,Arthropod,Locations provided in Table 1. No further information provided.,Brazil,Para,N/A,678,N/A,Administrative polygon,1,-53,-4,GeoNames,716,Distance from coordinates to farthest point in the state,Viral culture,1 isolate,N/A,8,E
ADM1_06,"Talarmin, 1998",PMID: 9749643,1995,1996,Human,Locations provided in Table 2. No further information provided.,French Guiana,Cayenne,N/A,1271,N/A,Administrative Polygon,1,-52.5,4,GeoNames,213,Distance from coordinates to furthest point in the county,HI,6,873,10,E
ADM1_06,"de Thoisy, 2003",PMID: 14609474,1994,1995,Animal,"Blood samples were collected in 1994–95 during a wildlife rescue operation at the Petit Saut hydroelectric dam site French Guiana. A previous article describing the wildlife rescue shows the region where animals were captured (https://www.cambridge.org/core/journals/oryx/article/wildlife-rescuesthe-case-of-the-petit-saut-hydroelectric-dam-in-french-guiana/F10FD58E995A2B97121EA721411AC29D). Because this area is so large and spans multiple ADM2 units, we decided to georeference the ADM1 unit.",French Guiana,Cayenne,N/A,1271,Petit-Saut Dam,Administrative polygon,1,-52.5,4,GeoNames,213,Distance from coordinates to furthest point in the county,HI; NT,108 positive by HI and confirmed by NT,579,11,E
ADM1_07,"Metselaar, 1966",PMID: 5962842,1963,1963,Human,The patient lived in the Coronie district of Suriname. No further geographic information provided.,Suriname,Coronie,N/A,2773,N/A,Administrative polygon,1,-56.25,5.58333,GeoNames,55,Measured from coordinates to the furthest point in the district,NT; Viral culture,1 isolate,N/A,7,E
ADM1_08,"Mourao, 2012",PMID: 21923266,2009,2009,Human,"Article references an unpublished sero-survey was performed in the Rio Negro region of Amazonas state. Due to the size of this region, we decided to georeference the ADM1 unit. ",Brazil,Amazonas,N/A,668,Rio Negro region,Administrative polygon,1,-64.5,-3.75,GeoNames,1086,Distance from coordinates to farthest point in the state,Serology (unspecified),138,335,11,E
ADM1_09,"Fumagalli, 2019",PMID: 30787146,2017,2017,Human,"The article states that serum samples were collected in Mato Grosso State, Brazil. No further geographic information was provided.",Brazil,Mato Grosso,N/A,675,N/A,Administrative polygon,1,-56,-13,GeoNames,753,Distance from coordinates to farthest point in the state,ELISA; NT,23 by ELISA; 11 by NT,68,11,E
ADM1_10,"Brunini, 2017",PMID: 28518022,2014,2015,Human,"The article states that ""all the patients with an antibody profile suggesting recent MAYV infection resided in Goiânia but had traveled to rural areas in the 15 days before symptom onset. Twelve patients had visited farms or small holdings in the forests around towns located 34 km (Hidrolandia) and 46 km (Bela Vista) from Goiânia. In particular, 7 patients had been around Bela Vista and 5 in the area of Hidrolandia, whereas only 1 had been near Pontalina and 2 in Itacaja (Tocantins), which is outside the state of Goiás. Ten of these 11 patients reported engaging in recreational activities."" Due to the uncertainty regarding the precise location the infections occurred, we decided to draw a polygon encompassing the communities of Goiania Hidrolandia and Bela Vista.",Brazil,Goias,N/A,673,N/A,Administrative polygon,1,-49.63623,-15.58071,GeoNames,485,Distance from coordinates to farthest point in the state,HI; ELISA,15,27 CHIKV-negative tested for MAYV (75 overall),10,E
ADM1_11,"Niederman, 1967",PMID: 6058390,1964,1964,Human,See Table 2. Geographic information presented by state only,Brazil,Paraiba,N/A,679,N/A,Administrative Polygon,1,-36.5,-7.25,GeoNames,250,Distance from coordinates to farthest point in the state,HI; NT,1 (positive by HI and confirmed by PRNT),21,9,E
ADM1_11,"Araujo, 2012b",Available at: https://pdfs.semanticscholar.org/ed41/39bc5de62465a72af49f6d756df08dc3864d.pdf,2009,2009,Animal,"The study took place in 15 municipalities of Paraiba state. However, the authors do not specify where MAYV was detected.",Brazil,Paraiba,N/A,679,N/A,Administrative polygon,1,-36.5,-7.25,GeoNames,250,Distance from coordinates to farthest point in the state,HI,11,102,11,P
ADM1_12,"Tesh, 1999",PMID: 10028074,1995,1998,Human,"The article states that patients with MAYV were seen at health facilities in Tumbes. Because there is both an ADM1 and ADM2 unit called Tumbes, we will be conservative and georeference the centroid of the ADM1 unit where the hospital/health center is located.",Peru,Tumbes,N/A,2351,N/A,Administrative Polygon,1,-80.5,-3.83333,GeoNames,46,Distance from coordinates to furthest point in the state,ELISA; Viral culture,21 isolations out of 27 seropositive overall. (Unsure how many positive per location),N/A,9,E
ADM1_13,"News article, 2007",Available at: https://web.archive.org/web/20090709105040/http://noticias.terra.com/noticias/articulo/html/act834981.htm,2007,2007,Human,"The article states that 12 people in Chuquisaca were reported infected with MAYV, but no further geographic details were provided",Bolivia,Chuquisaca,N/A,40444,N/A,Administrative polygon,1,-64.33333,-20,GeoNames,239,Distance from coordinates to farthest point in the state,N/A,12,N/A,0,S
ADM1_14,"Groot, 1964",DOI: dx.doi.org/10.18257/raccefyn.565,1957,1957,Animal,"Locations provided in Tables 27-28 on page 21. However, we were unable to find the locality described in the table. Therefore, we georeferenced the ADM1 unit.",Colombia,Santander,N/A,961,Pie de Monte; Sabana y Bosque,Administrative polygon,1,-73.41667,6.83333,GeoNames,150,Measured from coordinates to the furthest point in the state,HI,7,12,11,S
ADM1_15,"Jonkers, 1964",PMID: 14187891,1960,1960,Human,"The article describes Daan Tapoe, a ""river community either in or bordering on rain forest"". We were unable to find this location but we were able to determine that the location falls within the ADM1 unit of Marowijne using the map provided in the article.",Suriname,Marowijne,N/A,2774,Daan Tapoe,Administrative Polygon,1,-54.33333,5.58333,GeoNames,61,Measured from coordinates to the furthest point in the province,HI; NT,13 positive by HI and NT,19,9,E
ADM1_16,"Jonkers, 1964",PMID: 14187891,1960,1960,Human,"The article describes Suralco Kondre, a ""situated on the banks of the upper Suriname river."" We were unable to find this location but we were able to determine that the location falls within the ADM1 unit of Brokopondo using the map provided in the article.",Suriname,Brokopondo,N/A,2771,Suralco Kondre,Administrative Polygon,1,-55.16667,4.75,GeoNames,80,Measured from coordinates to the furthest point in the province,HI; NT,24 positive by HI and NT,36,9,E
ADM1_17,"Madalengoitia, 1973",Available at: https://iris.paho.org/handle/10665.2/11677,1965,1965,Human,"The article states that MAYV was detected in patients from Lamas and the central Huallaga River area in the Department of San Martin. Based on the vague description provided, we decided to georeference the ADM1 unit (i.e., Department of San Martin)",Peru,San Martin,N/A,2349,N/A,Administrative polygon,1,-76.8333,-7,GeoNames,210,Distance from coordinates to furthest point in the region,HI; NT,N/A,N/A,9,E
ADM1_18,Guevara 2015,ASTMH Abstract,2012,2012,Human,"The abstract states that the study was conducted in two rural villages around Iquitos, Peru, as well as riverside indigenous communities in Datem Del Marañon province in Loreto, Peru""; 6 samples positive for MAYV, but the abstract does not specify where the positive samples came from. Because both locations fall within the Loreto province, we decided to georeference this ADM1 unit.",Peru,Loreto,N/A,2343,N/A,Administrative Polygon,1,-74.5,-4,GeoNames,545,Measured from coordinates to the furthest point in the province,ELISA,6,364,5,E
ADM1_19,Forshey 2010,PMID: 20706628,2000,2007,Human,"Article states that, ""Participants were recruited when reporting with acute febrile illness to public, private, or military health facilities in and around these regional centers, in or near Piura, Cusco, Tumbes, and Yurimaguas, Peru, as well as Santa Cruz, Bolivia; Concepcion, Magdalena, and Cochabamba (Villa Tunari and Eterazama), Bolivia; Guayaquil, Ecuador; Asuncioon, Paraguay; and La Merced and Puerto Maldonado, Peru."" Because there is both an ADM1 and ADM2 unit called Santa Cruz, we will georeference the centroid of the ADM1 unit where the hospital/health center is located.",Bolivia,Santa Cruz,N/A,40449,N/A,Administrative Polygon,1,-61.5,-17.5,GeoNames,470,Distance from coordinates to farthest point in the state,ELISA; Viral culture; RT-PCR,"10 total confirmed by isolation, PCR, or ELISA. 7 isolates",1280,12,E
ADM1_20,Forshey 2010,PMID: 20706628,2000,2007,Human,"Article states that, ""Participants were recruited when reporting with acute febrile illness to public, private, or military health facilities in and around these regional centers, in or near Piura, Cusco, Tumbes, and Yurimaguas, Peru, as well as Santa Cruz, Bolivia; Concepcion, Magdalena, and Cochabamba (Villa Tunari and Eterazama), Bolivia; Guayaquil, Ecuador; Asuncioon, Paraguay; and La Merced and Puerto Maldonado, Peru."" Because there is both an ADM1 and ADM2 unit called Cusco, we will georeference the centroid of the ADM1 unit where the hospital/health center is located.",Peru,Cusco,N/A,2335,N/A,Administrative Polygon,1,-72,-13.5,GeoNames,280,Distance from coordinates to furthest point in the province,Viral culture; RT-PCR; ELISA ,"4 total confirmed by isolation, PCR, or ELISA. 3 isolates",826,12,E
ADM2_01,"Cruz, 2009",PMID: 19936489,2006,2008,Human,"Human blood serum was obtained at the Juruti municipal health unit. According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Brazil,Para,Juruti,8785,Juruti municipal health unit,Administrative Polygon,2,-56.02742,-2.33065,GeoNames,137,Measured from coordinates to the furthest point in the Juruti municipality,HI; ELISA,5 confirmed positive by ELISA,1597,9,P
ADM2_02,Halsey 2013,PMID: 24210165,2010,2013,Human,"Persons identified for this cohort were recruited in a passive febrile surveillance study in 15 health centers in 4 Peruvian cities: Iquitos, Yurimaguas, Chanchamayo, and Puerto Maldonado. According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Peru,Loreto,Alto Amazonas,91847,Yurimaguas,Administrative Polygon,2,-76.10229,-5.81276,GeoNames,238,Measured from coordinates to the furthest point in the province,ELISA; Viral culture; RT-PCR,11 isolations and 13 positive by RT-PCR out of 16 seropositive by ELISA IgM. (Unsure how many positive per location),2094 enrolled overall (unsurehow many per location),12,E
ADM2_03,Halsey 2013,PMID: 24210165,2010,2013,Human,"Persons identified for this cohort were recruited in a passive febrile surveillance study in 15 health centers in 4 Peruvian cities: Iquitos, Yurimaguas, Chanchamayo, and Puerto Maldonado. According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Peru,Loreto,Maynas,24145,Iquitos ,Administrative Polygon,2,-73.66667,-3,GeoNames,370,Measured from coordinates to the furthest point in the province,ELISA; Viral culture; RT-PCR,11 isolations and 13 positive by RT-PCR out of 16 seropositive by ELISA IgM. (Unsure how many positive per location),2094 enrolled overall (unsurehow many per location),12,E
ADM2_04,Halsey 2013,PMID: 24210165,2010,2013,Human,"Persons identified for this cohort were recruited in a passive febrile surveillance study in 15 health centers in 4 Peruvian cities: Iquitos, Yurimaguas, Chanchamayo, and Puerto Maldonado. According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Peru,Junin,Chanchamayo,24108,Chanchamayo ,Administrative Polygon,2,-75.31667,-11.05,GeoNames,76,Measured from coordinates to the furthest point in the province,ELISA; Viral culture; RT-PCR,11 isolations and 13 positive by RT-PCR out of 16 seropositive by ELISA IgM. (Unsure how many positive per location),2094 enrolled overall (unsurehow many per location),12,E
ADM2_05,Halsey 2013,PMID: 24210165,2010,2013,Human,"Persons identified for this cohort were recruited in a passive febrile surveillance study in 15 health centers in 4 Peruvian cities: Iquitos, Yurimaguas, Chanchamayo, and Puerto Maldonado. According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Peru,Madre de Dios,Tambopata,24150,Puerto Maldonado ,Administrative Polygon,2,-70.05006,-12.19948,GeoNames,255,Measured from coordinates to the furthest point in the province,ELISA; Viral culture; RT-PCR,11 isolations and 13 positive by RT-PCR out of 16 seropositive by ELISA IgM. (Unsure how many positive per location),2094 enrolled overall (unsurehow many per location),12,E
ADM2_06,"Coimbra, 2007",PMID: 17823750,2000,2000,Human,"This report describes states that patients were infected while fishing in Camapuã, Mato Grosso do Sul.",Brazil,Mato Grosso do Sul,Camapua,7686,N/A,Administrative Polygon,2,-53.85781,-19.05769,GeoNames,92,Measured from coordinates to the furthest point in the county,HI; Viral culture; RT-PCR,1 isolate; 3 monotypic conversions by HI,N/A,9,E
ADM2_07,"Mutricy, 2022",PMID: 35151887,2003,2016,Human,"Locations (""residential communes"") presented in Table 2.  The authors specify that the one person infected here did not have any travel history.",French Guiana,Cayenne,Matoury,16337,N/A,Administrative Polygon,2,-52.32355,4.84921,GeoNames,15,Measured from coordinates to the furthest point in the municipality,ELISA,1,65 patients overall with positive serology (unsure how many per location); only 17 validated by the scientific committee ,11,E
ADM2_08,"WHO, 2020",Available at: https://www.who.int/csr/don/25-october-2020-mayaro-fever-french-guiana-france/en/,2020,2020,Human,"The article states that one infected person lived in the ""urban coastal area"" of Kourou. We georeferenced this conservatively, assuming that the patient was infected somewhere within the ADM2 unit.",French Guiana,Cayenne,Kourou,16336,N/A,Administrative Polygon,2,-52.64265,5.16281,GeoNames,73,Measured from coordinates to the furthest point in the municipality,RT-PCR,1,97 overall (unsure how many at each location),3,E
ADM2_09,"WHO, 2020",Available at: https://www.who.int/csr/don/25-october-2020-mayaro-fever-french-guiana-france/en/,2020,2020,Human,"The article states that one infected person lived in the ""rural/sylvatic area"" of Roura. We georeferenced this conservatively, assuming that the patient was infected somewhere within the ADM2 unit.",French Guiana,Cayenne,Roura,16342,N/A,Administrative Polygon,2,-52.32495,4.72874,GeoNames,88,Measured from coordinates to the furthest point in the municipality,RT-PCR,1,97 overall (unsure how many at each location),3,E
ADM2_10,"Tesh, 1999",PMID: 10028074,1995,1998,Human,"The article states that patients with MAYV were seen at health facilities in Tocache. Because there is both a town and an ADM2 unit called Tocache, we will be conservative and georeference the centroid of the ADM2 unit.",Peru,San Martin,Tocache,24188,N/A,Administrative Polygon,2,-76.63451,-8.2493,GeoNames,80,Measured from coordinates to the furthest point in the province,ELISA; Viral culture,21 isolations out of 27 seropositive overall. (Unsure how many positive per location),N/A,9,E
ADM2_100,"Laroque, 2014",DOI: dx.doi.org/10.1590/S0100-736X2014000500013,2008,2010,Animal,"The article describes MAYV in captive primates from a wildlife rehabilitation center (Centros de Triagem de Animais Silvestres- CETAS) in Natal, Rio Grande do Norte state.  Due to uncertainty regarding the precise location where infection place, we opted to georeference the centroid of the 2nd-level administrative unit where the wildlife center is located",Brazil,Rio Grande do Norte,Natal,10072,Centro de Triagem de Animais Silvestres-Natal,Administrative Polygon,2,-35.2267,-5.8101,GeoNames,13,Distance from coordinates to the furthest point in the county,HI,7,16,10,P
ADM2_101,"Laroque, 2014",DOI: dx.doi.org/10.1590/S0100-736X2014000500013,2008,2010,Animal,"The article describes MAYV in captive primates from a wildlife rehabilitation center (Centros de Triagem de Animais Silvestres- CETAS) in Joao Pessoa, Paraiba state.  Due to uncertainty regarding the precise location where infection place, we opted to georeference the centroid of the 2nd-level administrative unit where the wildlife center is located",Brazil,Paraiba,Joao Pessoa,8961,Centro de Triagem de Animais Silvestres-Joao Pessoa,Administrative Polygon,2,-34.8654,-7.1709,GeoNames,13,Distance from coordinates to furthest point in the county,HI,12,37,10,P
ADM2_102,"Laroque, 2014",DOI: dx.doi.org/10.1590/S0100-736X2014000500013,2008,2010,Animal,"The article describes MAYV in captive primates from a wildlife rehabilitation center (Centros de Triagem de Animais Silvestres- CETAS) in Maceió, Alagoas state.  Due to uncertainty regarding the precise location where infection place, we opted to georeference the centroid of the 2nd-level administrative unit where the wildlife center is located",Brazil,Alagoas,Maceio,6400,Centro de Triagem de Animais Silvestres-Maceio,Administrative Polygon,2,-35.6899,-9.5714,GeoNames,22,Distance from coordinates to the furthest point in the county,HI,1,5,10,P
ADM2_103,"Laroque, 2014",DOI: dx.doi.org/10.1590/S0100-736X2014000500013,2008,2010,Animal,"The article describes MAYV in captive primates from a wildlife rehabilitation center (Centros de Triagem de Animais Silvestres- CETAS) in Recife, Pernambuco state.  Due to uncertainty regarding the precise location where infection place, we opted to georeference the centroid of the 2nd-level administrative unit where the wildlife center is located",Brazil,Pernambuco,Recife,9621,Centro de Triagem de Animais Silvestres-Recife,Administrative Polygon,2,-34.9529,-8.0118,GeoNames,16,Distance from coordinates to the furthest point in the county,HI,4,16,10,P
ADM2_104,"Laroque, 2014",DOI: dx.doi.org/10.1590/S0100-736X2014000500013,2008,2010,Animal,"The article describes MAYV in captive primates from a wildlife rehabilitation center (Centros de Triagem de Animais Silvestres- CETAS) in Teresina, Piaui state.  Due to uncertainty regarding the precise location where infection place, we opted to georeference the centroid of the 2nd-level administrative unit where the wildlife center is located",Brazil,Piaui,Teresina,9886,Centro de Triagem de Animais Silvestres-Teresina,Administrative Polygon,2,-42.7407,-5.1025,GeoNames,58,Distance from coordinates to furthest point in the county,HI,5,26,10,P
ADM2_11,"Jonkers, 1964",PMID: 14187891,1960,1960,Human,"The article states that MAYV was detected in the river community called Moengo Tapoe, either in or bordering on rain forest. Because there is also an administrative unit with the same name, we georeferenced this conservatively, assuming that the patient was infected somewhere within the ADM2 unit.",Suriname,Marowijne,Moengo Tapoe,25898,N/A,Administrative Polygon,2,-54.25021,5.57283,GeoNames,30,Measured from coordinates to the furthest point in the province,HI; NT,8 positive by HI and NT,29,9,E
ADM2_12,"Jonkers, 1964",PMID: 14187891,1960,1960,Human,"MAYV was detected in Gansee, described as a ""small settlement...situated on the banks of the upper Suriname river."" The coordinates from GeoNames fall in a body of water ~15km from land. Therefore, we decided to georeference the centroid of the ADM2 unit in which the coordinates fall.",Suriname,Brokopondo,Sarakreek,25885,Gansee,Administrative Polygon,2,-54.96888,4.32023,GeoNames,75,Measured from coordinates to the furthest point in the province,HI; NT,20 positive by HI and NT,55,9,E
ADM2_13,"Blohm, 2019",PMID: 31382049,2014,2015,Human,"Article states that students were from, ""...the four campuses of the Christianville Foundation school system in the Gressier/Leogane region of Haiti."" A map is provided on page 2. The farthest schools are ~13km apart (see picture in article). Therefore, we decided to georeference the ADM2 unit that contains the schools.",Haiti,Ouest,Port-au-Prince,17198,N/A,Administrative Polygon,2,-72.3366,18.47468,GeoNames,20,Measured from coordinates to the furthest point in the province,RT-PCR,5,1250,12,E
ADM2_14,"de Souza Costa, 2019",PMID: 30552880,2015,2016,Human,"The authors describe MAYV in the metropolitan area of Cuiabá...In this city, an outbreak of MAYV occurred between May and July 2015""",Brazil,Mato Grosso,Cuiaba,7779,N/A,Administrative Polygon,2,-55.89023,-15.41924,GeoNames,48,Distance from coordinates to furthest point in the region,RT-PCR; Viral culture,4,75,12,E
ADM2_15,"de Souza Costa, 2019",PMID: 30552880,2015,2016,Human,"The authors collected serum samples from patients with acute febrile illness from health units of 31 cities of Mato Grosso. According to Table 1, all patients with MAYV are from an urban area. However, there are many communities outside this city on all sides, making it difficult to georeference the city with confidence. In order to be more conservative, we decided to georeference the ADM2 unit in which the city is located.",Brazil,Mato Grosso,Sinop,7858,N/A,Administrative Polygon,2,-55.44017,-11.76411,GeoNames,66,Distance from coordinates to furthest point in the region,RT-PCR; Viral culture,1,14,12,E
ADM2_16,"de Souza Costa, 2019",PMID: 30552880,2015,2016,Human,"The authors collected serum samples from patients with acute febrile illness from health units of 31 cities of Mato Grosso. According to Table 1, all patients with MAYV are from an urban area. However, there are many communities outside this city on all sides, making it difficult to georeference the city with confidence. In order to be more conservative, we decided to georeference the ADM2 unit in which the city is located.",Brazil,Mato Grosso,Tangará da Serra,7861,N/A,Administrative Polygon,2,-58.09862,-14.52323,GeoNames,116,Distance from coordinates to furthest point in the city,RT-PCR; Viral culture,2,11,12,E
ADM2_17,Forshey 2010,PMID: 20706628,2005,2007,Human,"Article states that, ""Participants were recruited when reporting with acute febrile illness to public, private, or military health facilities in and around these regional centers, in or near Piura, Cusco, Tumbes, and Yurimaguas, Peru, as well as Santa Cruz, Bolivia; Concepcion, Magdalena, and Cochabamba (Villa Tunari and Eterazama), Bolivia; Guayaquil, Ecuador; Asuncioon, Paraguay; and La Merced and Puerto Maldonado, Peru."" According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Bolivia,Cochabamba,Chapare,40471,Villa Tunari/Eterazama,Administrative Polygon,2,-65.71926,-16.80922,GeoNames,121,Distance from coordinates to furthest point in the province,Viral culture; RT-PCR; ELISA,"10 total confirmed by isolation, PCR, or ELISA. 6 isolates",256,12,E
